x_actual,y_actual,x_pred,y_pred,error
1014.7646928040908,525.4117638097758,1030.2707701079826,531.677166859803,16.72404582430809
988.7058697931096,478.17647466941,1018.606792218314,470.6958617443085,30.8224712119792
850.5294090686484,436.7647054761218,852.4527216485681,428.8715358817162,8.124115799650163
887.7058878198993,434.0588236244772,873.1643923772408,439.71704123708696,15.603541785777534
990.882365513508,432.1764687259313,980.3097388524614,463.3627585623971,32.92969948660218
1038.94116123298,407.7058839758761,1004.5380917221664,404.71631396291974,34.532719566061374
1001.7647148084836,503.1764733921889,1002.412736927232,508.9581686951625,5.817897665206419
990.705893761226,469.6470632270068,990.835588699888,481.3478184238275,11.701473964977277
985.7647170240788,443.5294101052332,994.2732157630294,447.5921964355538,9.428721204732057
896.5882293101354,407.8823536928372,899.7252498840899,421.97062390344047,14.433303696949789
986.9999869632998,486.2941202243436,993.8013744557734,494.7186566368571,10.827358199881543
964.6470707502448,475.8235322516876,951.5801763730246,482.30420154697447,14.585705439926494
1019.705869541238,532.9411834039598,1036.0731315824073,546.9302683564099,21.530948992814178
1068.470584596593,471.3529435867513,1079.3945384244842,474.54409546175674,11.380519211496868
1039.2941047375443,454.7647033992809,1033.54527636841,471.08606436126456,17.304214841163063
973.0000131470116,484.70588312801294,987.7401726588496,495.1068726555458,18.040312790699517
1086.8235175269242,465.29411782548425,1095.034642452128,468.07187403094656,8.668246770500291
871.5294182832124,541.4117683928157,862.4195287687385,548.3480437489861,11.449978287426545
1024.8235180306674,487.823530867127,1021.0102540813712,493.6634547154315,6.974646406879583
858.2352991492985,489.8823506607936,845.4314960627817,497.6376445492375,14.969367280364052
983.8235277489746,479.8823550291544,1056.3025356255291,478.0062540576782,72.50328501264497
1012.1764835396244,434.4117630583994,1018.713664468368,433.5887231111868,6.588788147287559
1034.2352909411272,456.17647077865047,1038.737147085947,455.51975539608225,4.549503691871662
966.00001007549,567.6470551343222,971.5845215519976,576.4925864369354,10.460888703009713
