x,y,timestamp,participant,cluster
912.0,703.4,0.0,P15,2
895.2,686.6,36.6,P15,2
783.4,677.6,74.8,P15,2
772.0,685.0,109.6,P15,2
771.2,708.6,145.8,P15,2
778.6,661.4,182.4,P15,2
759.6,675.8,218.0,P15,2
735.4,683.6,253.6,P15,2
707.0,678.2,289.6,P15,2
647.4,683.6,325.0,P15,2
647.8,684.8,360.2,P15,2
643.2,624.4,394.8,P15,2
637.6,597.6,430.0,P15,2
585.6,547.4,491.2,P15,2
609.8,557.0,532.2,P15,2
601.0,603.4,567.8,P15,2
607.6,627.8,604.6,P15,2
607.4,618.4,640.2,P15,2
609.2,568.0,675.6,P15,2
611.0,580.0,710.0,P15,2
614.0,583.6,745.6,P15,2
607.8,596.4,780.6,P15,2
616.6,585.4,816.4,P15,2
696.4,580.2,851.8,P15,2
695.4,606.2,886.6,P15,2
693.0,589.8,922.8,P15,2
696.8,577.2,958.6,P15,2
702.2,587.8,994.4,P15,2
697.2,574.4,1029.8,P15,2
713.4,528.8,1065.4,P15,2
718.0,504.8,1100.8,P15,2
710.4,493.6,1136.8,P15,2
717.6,516.6,1173.2,P15,2
802.4,559.8,1209.0,P15,2
796.0,589.6,1246.0,P15,2
799.8,570.0,1281.8,P15,2
798.0,569.0,1319.0,P15,2
806.2,549.6,1354.4,P15,2
768.4,524.0,1389.8,P15,2
735.4,542.6,1425.4,P15,2
750.0,543.4,1461.0,P15,2
728.2,575.4,1517.6,P15,2
674.8,586.0,1554.8,P15,2
679.2,586.4,1597.8,P15,2
678.4,593.0,1633.8,P15,2
677.2,583.0,1669.0,P15,2
663.8,597.8,1705.0,P15,2
668.4,587.4,1741.0,P15,2
657.4,580.8,1775.8,P15,2
611.6,583.8,1810.0,P15,2
559.0,562.8,1845.4,P15,2
572.8,537.0,1881.8,P15,2
574.2,510.4,1918.4,P15,2
571.6,511.8,1953.8,P15,2
572.8,506.0,1989.4,P15,2
577.6,482.8,2024.4,P15,2
570.6,505.6,2060.8,P15,2
580.8,489.0,2097.4,P15,2
611.6,470.8,2132.6,P15,2
626.4,482.0,2168.4,P15,2
632.0,473.2,2203.4,P15,2
637.6,447.0,2239.2,P15,2
610.4,418.6,2275.0,P15,2
602.8,459.0,2311.2,P15,2
631.2,400.0,2347.6,P15,2
616.4,406.6,2384.4,P15,2
600.4,432.4,2421.0,P15,2
591.4,433.8,2459.0,P15,2
651.0,410.8,2493.6,P15,2
681.8,405.6,2528.8,P15,2
699.2,414.2,2565.2,P15,2
706.4,407.2,2600.8,P15,2
698.6,394.2,2635.8,P15,2
699.2,402.8,2670.8,P15,2
742.4,485.8,2706.8,P15,2
735.0,581.8,2742.6,P15,2
726.2,646.4,2778.0,P15,2
713.4,665.4,2815.0,P15,2
711.6,633.8,2850.0,P15,2
708.6,646.4,2885.6,P15,2
705.4,655.4,2921.0,P15,2
775.8,552.6,3198.2,P15,2
772.0,552.4,3233.4,P15,2
802.0,548.8,3281.8,P15,2
801.4,539.0,3317.4,P15,2
799.2,534.4,3354.2,P15,2
799.2,554.4,3389.6,P15,2
797.0,547.6,3424.8,P15,2
804.2,578.2,3463.8,P15,2
821.8,568.2,3674.4,P15,2
829.2,507.0,3824.0,P15,2
860.2,521.2,3856.6,P15,2
