x,y,timestamp,participant,cluster
1023.25,728.5,0.0,P19,3
965.25,712.0,52.75,P19,3
886.0,701.75,115.75,P19,3
796.5,653.25,163.5,P19,3
735.25,672.75,206.25,P19,3
708.75,672.75,247.5,P19,3
690.25,641.75,289.5,P19,3
685.5,644.25,331.0,P19,3
687.75,655.5,374.25,P19,3
684.25,654.75,416.5,P19,3
515.0,625.75,458.25,P19,3
497.5,607.75,500.0,P19,3
484.5,615.75,540.5,P19,3
503.25,622.25,580.25,P19,3
503.25,639.0,620.25,P19,3
522.0,657.75,659.5,P19,3
483.75,628.75,698.0,P19,3
550.75,657.0,737.5,P19,3
502.0,584.5,1049.5,P19,3
544.5,605.5,1087.5,P19,3
474.5,577.0,1141.5,P19,3
499.25,584.75,1185.0,P19,3
702.5,569.0,1225.25,P19,3
703.25,574.0,1267.75,P19,3
658.0,603.25,1344.75,P19,3
648.25,586.0,1382.75,P19,3
626.5,563.25,1449.0,P19,3
642.25,581.25,1494.25,P19,3
627.0,564.75,1534.25,P19,3
624.5,592.75,1573.5,P19,3
615.0,605.75,1612.25,P19,3
616.5,584.0,1651.25,P19,3
598.0,588.0,1690.0,P19,3
687.5,662.5,1731.25,P19,3
712.5,682.0,1770.25,P19,3
711.5,682.25,1809.25,P19,3
712.0,684.75,1848.75,P19,3
732.0,673.75,1889.25,P19,3
738.5,654.75,1929.0,P19,3
758.5,638.75,1968.25,P19,3
781.75,529.25,2008.25,P19,3
784.75,526.75,2049.75,P19,3
780.75,524.25,2090.5,P19,3
799.0,557.5,2222.75,P19,3
805.5,564.5,2288.0,P19,3
821.25,554.5,2323.75,P19,3
811.0,551.5,2364.5,P19,3
614.5,551.75,2403.25,P19,3
583.25,567.5,2441.5,P19,3
544.0,557.5,2480.5,P19,3
545.75,554.5,2520.25,P19,3
543.5,555.75,2559.0,P19,3
537.75,569.25,2598.5,P19,3
520.75,555.75,2639.25,P19,3
549.0,591.0,2678.5,P19,3
539.25,601.0,2717.25,P19,3
531.25,597.25,2758.0,P19,3
532.0,591.25,2797.75,P19,3
574.25,585.0,2837.0,P19,3
583.5,595.0,2876.25,P19,3
633.25,607.75,2914.75,P19,3
765.5,602.0,2953.25,P19,3
769.25,603.0,2992.0,P19,3
871.5,618.0,3032.0,P19,3
929.0,615.25,3072.0,P19,3
965.5,655.0,3110.5,P19,3
910.75,546.75,3301.0,P19,3
856.25,551.5,3339.0,P19,3
698.0,565.75,3378.75,P19,3
652.75,571.0,3419.0,P19,3
670.25,561.75,3458.5,P19,3
667.75,571.25,3498.25,P19,3
670.75,567.5,3537.25,P19,3
683.5,546.0,3576.75,P19,3
686.5,541.0,3615.75,P19,3
490.5,514.5,3656.0,P19,3
451.0,532.75,3695.5,P19,3
439.75,532.25,3732.25,P19,3
451.0,538.5,3771.5,P19,3
449.25,527.0,3811.5,P19,3
281.0,592.75,3851.0,P19,3
158.75,668.0,3891.0,P19,3
154.75,673.75,3931.5,P19,3
154.0,672.75,3970.25,P19,3
156.75,670.25,4008.5,P19,3
224.5,697.25,4049.5,P19,3
247.25,734.75,4089.75,P19,3
288.75,879.5,4128.75,P19,3
217.5,751.0,4364.5,P19,3
340.75,627.75,4406.75,P19,3
487.5,562.25,4450.25,P19,3
497.25,563.25,4494.0,P19,3
527.0,549.5,4533.75,P19,3
635.0,507.75,4574.25,P19,3
631.0,491.75,4615.0,P19,3
639.75,500.75,4656.0,P19,3
642.25,500.5,4695.75,P19,3
684.5,508.0,4807.5,P19,3
816.25,651.75,4922.5,P19,3
918.75,723.5,5032.5,P19,3
608.0,617.75,5109.5,P19,3
480.5,575.75,5149.75,P19,3
488.5,711.25,5192.0,P19,3
473.5,585.75,5440.5,P19,3
476.25,627.75,5480.0,P19,3
476.5,637.25,5520.25,P19,3
482.5,635.25,5560.5,P19,3
463.0,640.5,5599.75,P19,3
466.0,647.25,5638.25,P19,3
474.75,647.5,5677.0,P19,3
