x,y,timestamp,participant,cluster
869.75,456.125,0.0,P05,1
879.75,441.375,33.0,P05,1
844.875,456.125,68.875,P05,1
832.875,460.125,104.0,P05,1
835.125,472.25,138.375,P05,1
841.25,525.125,172.5,P05,1
866.375,601.75,206.5,P05,1
841.0,551.375,241.5,P05,1
826.875,538.625,276.125,P05,1
848.0,539.375,310.375,P05,1
805.875,527.25,344.875,P05,1
809.25,532.125,378.875,P05,1
844.125,575.75,413.625,P05,1
853.125,611.625,447.375,P05,1
824.125,606.625,482.25,P05,1
819.875,631.375,516.625,P05,1
812.0,644.125,550.25,P05,1
812.75,635.375,584.0,P05,1
818.625,635.125,618.0,P05,1
808.5,643.625,655.25,P05,1
801.375,628.125,698.625,P05,1
830.75,653.375,736.875,P05,1
834.875,684.875,782.25,P05,1
828.5,678.75,819.75,P05,1
831.125,683.5,855.0,P05,1
819.75,663.875,890.375,P05,1
856.125,680.75,924.375,P05,1
853.5,625.25,958.375,P05,1
898.5,626.25,992.75,P05,1
904.625,625.75,1027.125,P05,1
896.5,609.875,1061.625,P05,1
915.125,613.5,1095.75,P05,1
923.0,619.0,1133.875,P05,1
914.875,598.5,1167.25,P05,1
892.25,557.875,1202.0,P05,1
971.5,585.0,1236.5,P05,1
1022.625,607.0,1270.25,P05,1
964.0,495.75,1303.625,P05,1
996.75,464.625,1337.625,P05,1
990.125,490.75,1373.25,P05,1
977.25,542.875,1408.875,P05,1
884.0,551.375,1445.25,P05,1
983.375,518.75,1482.875,P05,1
991.125,523.0,1518.625,P05,1
967.75,501.5,1555.5,P05,1
936.25,511.375,1591.5,P05,1
846.5,485.25,1627.5,P05,1
852.625,476.625,1663.375,P05,1
924.875,508.375,1699.0,P05,1
928.5,499.75,1735.0,P05,1
927.5,505.0,1771.0,P05,1
932.875,503.5,1806.875,P05,1
916.875,506.625,1842.375,P05,1
918.5,511.875,1878.0,P05,1
926.125,508.5,1913.25,P05,1
965.375,593.0,1970.5,P05,1
957.25,564.625,2004.625,P05,1
929.25,506.125,2044.625,P05,1
935.5,506.625,2081.5,P05,1
946.625,506.75,2119.125,P05,1
938.125,504.125,2174.25,P05,1
927.25,505.125,2220.25,P05,1
870.5,503.125,2254.25,P05,1
884.5,501.625,2289.25,P05,1
879.25,503.375,2325.125,P05,1
881.0,502.75,2360.5,P05,1
884.375,503.25,2394.875,P05,1
882.375,500.125,2431.0,P05,1
886.5,503.5,2466.0,P05,1
918.0,508.5,2501.75,P05,1
945.625,475.375,2537.5,P05,1
945.625,471.0,2573.625,P05,1
938.75,473.5,2608.75,P05,1
938.5,474.625,2643.875,P05,1
946.875,467.25,2679.25,P05,1
947.125,462.75,2713.875,P05,1
947.625,457.75,2749.875,P05,1
947.375,477.125,2784.125,P05,1
938.125,466.875,2850.25,P05,1
941.25,467.625,2884.125,P05,1
867.75,457.5,2952.875,P05,1
876.125,478.625,2986.75,P05,1
820.375,492.5,3023.0,P05,1
764.125,555.875,3058.375,P05,1
756.5,571.25,3092.375,P05,1
752.5,572.375,3126.375,P05,1
737.375,565.625,3160.0,P05,1
792.875,566.25,3194.625,P05,1
819.75,578.875,3229.125,P05,1
827.75,570.125,3263.25,P05,1
830.875,585.5,3298.25,P05,1
816.25,579.125,3332.375,P05,1
809.0,589.125,3366.25,P05,1
834.75,553.375,3400.5,P05,1
829.625,567.75,3435.0,P05,1
824.5,562.125,3469.75,P05,1
823.75,675.5,3511.5,P05,1
865.0,645.25,3544.625,P05,1
917.75,534.5,3582.375,P05,1
955.625,501.875,3616.25,P05,1
990.5,479.5,3649.875,P05,1
951.625,398.625,3740.625,P05,1
993.25,399.125,3782.625,P05,1
1020.0,420.25,3826.5,P05,1
1031.125,422.875,3861.75,P05,1
1055.125,463.375,3898.25,P05,1
1080.125,518.625,3934.25,P05,1
1021.875,522.0,3968.625,P05,1
1031.125,505.625,4004.625,P05,1
1030.5,504.5,4039.75,P05,1
1028.0,507.625,4075.0,P05,1
1027.125,522.375,4110.875,P05,1
1021.0,508.375,4146.875,P05,1
1010.375,524.875,4183.375,P05,1
1022.5,519.625,4219.25,P05,1
1011.625,531.125,4265.0,P05,1
996.875,520.5,4298.125,P05,1
1002.125,523.0,4337.0,P05,1
998.875,518.625,4370.625,P05,1
969.375,524.5,4405.125,P05,1
970.0,546.75,4440.25,P05,1
967.25,537.125,4475.25,P05,1
963.125,530.25,4510.375,P05,1
968.75,544.625,4545.75,P05,1
960.125,537.875,4580.25,P05,1
960.125,549.0,4616.875,P05,1
979.75,527.25,4654.0,P05,1
986.625,538.0,4688.5,P05,1
946.625,566.625,4722.875,P05,1
918.125,586.625,4757.25,P05,1
927.625,590.625,4791.375,P05,1
925.375,597.0,4826.75,P05,1
937.75,601.625,4860.875,P05,1
936.25,597.875,4895.125,P05,1
950.875,560.25,4928.125,P05,1
947.375,546.875,4963.375,P05,1
941.0,538.375,4999.25,P05,1
946.5,513.5,5034.0,P05,1
954.375,518.0,5067.875,P05,1
957.125,518.125,5102.5,P05,1
959.0,525.0,5136.25,P05,1
971.0,504.125,5170.625,P05,1
990.5,518.625,5205.875,P05,1
983.0,516.5,5240.25,P05,1
978.25,530.375,5274.75,P05,1
975.625,546.75,5310.25,P05,1
