mean_x,mean_y,var_x,var_y,participant,cluster
5.2632795241488905e-17,1.238418711564445e-16,0.9999999999999998,1.0000000000000004,P05_PLAY,3
-1.0379553812085138e-16,1.4946557489402598e-16,1.0,1.0,P04_PLAY,2
1.845003959373016e-16,1.153127474608135e-17,1.0000000000000004,1.0,P13_PLAY,1
-4.951517322370036e-17,-1.6204965782301936e-16,1.0,0.9999999999999997,P18_PLAY,0
8.513742215797505e-17,1.9865398503527513e-16,1.0000000000000002,1.0,P19_PLAY,3
9.241758960066336e-17,6.601256400047383e-17,0.9999999999999998,0.9999999999999998,P15_PLAY,1
2.7864421010200007e-16,-2.0898315757650005e-16,0.9999999999999996,1.0,P14_PLAY,1
-3.6158475244657763e-16,-7.871232706320057e-17,1.0,1.0000000000000004,P12_READ,1
-2.6670456559904267e-16,7.069277642384265e-17,1.0,0.9999999999999998,P21_PLAY,1
9.412078704916102e-17,-1.647113773360318e-16,1.0,0.9999999999999998,P20_PLAY,1
-1.4783314998107442e-16,-2.2017703188670657e-17,0.9999999999999998,0.9999999999999998,P02_PLAY,1
9.978364925829376e-17,2.9269870449099503e-16,1.0000000000000002,1.0,P03_PLAY,3
2.0696965191309215e-16,-2.037855034221215e-16,1.0000000000000002,0.9999999999999998,P08_PLAY,2
-1.7461952844863947e-17,-3.9686256465599876e-17,1.0,1.0,P09_PLAY,2
1.2254698471662825e-17,-7.352819082997695e-17,1.0000000000000002,1.0,P24_PLAY,3
-2.456276912338759e-16,7.110275272559565e-17,1.0000000000000004,1.0000000000000002,P11_PLAY,1
-5.3110508812821156e-17,-3.7936077723443684e-17,0.9999999999999999,0.9999999999999999,P10_PLAY,1
1.0712560845496626e-16,2.433893824096833e-16,0.9999999999999998,1.0000000000000002,P06_PLAY,2
-1.9015416657272976e-16,2.0283111101091175e-16,1.0,1.0000000000000002,P07_PLAY,3
-7.3870589812616e-17,8.86447077751392e-17,1.0,1.0000000000000002,P01_PLAY,3
2.2701045870929717e-17,-1.1918049082238102e-16,1.0000000000000004,1.0000000000000002,P22_PLAY,1
-1.569566458493705e-18,6.27826583397482e-18,1.0,1.0,P23_PLAY,2
-1.6018676812627057e-16,-2.8604780022548317e-18,1.0000000000000002,1.0000000000000002,P16_PLAY,1
1.7799845252533483e-16,1.3156407360568228e-16,0.9999999999999998,1.0,P17_PLAY,1
