mean_x,std_x,min_x,max_x,var_x,median_x,iqr_x,mean_y,std_y,min_y,max_y,var_y,median_y,iqr_y,mean_speed,std_speed,max_speed,median_speed,p95_speed,total_scanpath_length,average_step_length,std_step_length,max_step_length,mean_abs_acceleration,mean_turning_angle,mean_timestamp_interval,std_timestamp_interval,max_timestamp_interval,duration_seconds,sampling_rate_hz,covariance_xy,correlation_xy,bounding_box_area,path_efficiency,fixation_ratio,stationary_step_ratio,spatial_entropy,participant,cluster
850.8962444302991,296.53395762603816,-1530.0,1893.0,87932.388025361,947.0,298.0,356.1855506047104,118.24681249210934,-1014.0,1344.0,13982.308664544065,378.0,111.0,1133.2797810891632,2663.9227671483154,90582.34706608125,474.25045578226764,4368.656262189209,266374.4744789124,42.396064695036195,97.0849782635722,2264.5586766520314,28660.962522898888,1.9730924617133407,38.769855164730224,45.99883260213139,1615.0,243.591,25.793235382259606,144.64735502773257,0.004125215304451038,8071434.0,0.002352951818532365,0.027852936495304792,0.001750756008276301,0.339851419545061,P01_PLAY,0
997.6968491406748,278.63086122409703,25.0,1923.0,77635.15682648202,948.5,210.0,473.14481222151494,181.73235711177063,26.0,1406.0,33026.64962140013,464.0,254.0,1111.606558962306,2143.0916866975376,25086.271263724306,449.30284765110065,5094.228595579108,228236.64610560623,36.32606177074745,71.29368157936679,862.5091303864557,37105.28623681744,1.6736443771231602,33.55896864555149,40.327291636789674,1744.0,210.851,29.798293581723588,-1341.7906003688752,-0.02649862067667943,2619240.0,0.0023369841049845404,0.03087696960050931,0.0006366385484641095,0.6590605096885976,P02_PLAY,1
777.3505728835137,307.83656152837335,-72.0,1942.0,94763.34861361199,911.0,441.0,412.7907383831954,92.33162098525158,-2.0,1302.0,8525.128233764148,430.0,85.0,800.6798882175078,1830.4277887985613,23099.284038188787,353.3910239300182,2659.9297753146875,173968.93830007178,27.68883308929998,64.35559945144995,778.3315488916019,22941.291058997085,1.9351850033888638,34.31099793092472,17.23952975829906,867.0,215.576,29.145173859798867,-6061.1034367692855,-0.2132460699600241,2626256.0,0.0015441147033920016,0.04233646347286328,0.001273277096928219,0.5960122253089862,P03_PLAY,0
937.6231699554424,210.6256093291885,-141.0,1655.0,44363.14730529194,946.0,222.25,498.8943348185869,154.1531164037739,68.0,1282.0,23763.18329699547,467.0,191.0,961.9349767840704,2098.6518699295875,27769.266357004166,360.555127546399,4773.097630453092,210342.74070352144,33.47807428036311,74.82858239987304,1102.0548988140292,29768.182706165233,1.696247991365878,34.65478274709534,13.391806378539378,850.0,217.736,28.856045853694383,566.9149880411221,0.017460410721036324,2180344.0,0.001691600872350217,0.04233646347286328,0.002228234919624383,0.621851931082063,P04_PLAY,1
962.1667727562062,213.94164077143967,4.0,1745.0,45771.02565597573,964.0,199.0,463.1640674729472,143.4588059397562,-79.0,1163.0,20580.42900166063,458.0,178.0,960.5269714529215,1700.0954248857215,18545.505944172215,463.08146631499346,4169.504440168923,193920.3147480678,30.86428692472828,56.22641124237969,1227.0093724173423,30043.024491814405,1.782654273088485,32.563902594302085,20.77284085661467,1544.0,204.599,30.70884999437925,-5732.096903677856,-0.1867630638040754,2162322.0,0.0027823800030013853,0.024510584115868216,0.001273277096928219,0.614073011751956,P05_PLAY,1
996.426002546149,269.0813877240035,-1218.0,1924.0,72404.79321947548,1002.0,266.0,523.6147358370465,173.0238621884585,53.0,1270.0,29937.256886610678,501.5,198.25,1122.5325667718657,2183.216900743813,29847.684960825038,445.7411487154228,4716.8118120479185,254834.6332756657,40.559387756750866,80.43351355422391,1060.8133671857647,34939.893739194165,1.4973056778916056,35.91946522361929,16.10594425358916,636.0,225.682,27.840058134897777,5287.420011483804,0.11356752196598059,3823814.0,0.0023917720672516833,0.027057138309724654,0.0009549578226961642,0.5905613895133962,P06_PLAY,1
875.9544875875239,258.5230552812322,30.0,1625.0,66834.17011194304,942.0,191.0,384.8731699554424,100.13277620349258,-17.0,1634.0,10026.57287021873,380.0,88.0,752.4616518651724,1768.4715605438053,37628.716865407194,374.3506488634663,2181.683762538959,158020.71423281962,25.150519534111034,64.80402629430101,1091.2327890968086,20805.215300121887,1.9647432642856368,32.781314658602575,17.563742288775543,896.0,205.965,30.50518291942806,-1007.3065361859869,-0.038912229518319214,2633345.0,0.001115287167610323,0.03931243036765876,0.0027057138309724655,0.4446705677781687,P07_PLAY,0
967.7681413112667,201.72207026437582,54.0,1840.0,40691.79363174578,971.0,154.0,498.0154360280076,158.99613344100308,-31.0,1150.0,25279.770449189255,511.0,168.0,880.6509036360112,1882.2074421196055,22268.46683956072,389.77567656756685,3844.59008716022,186725.0239389849,29.719087050610362,63.6139175368226,684.4705983459041,28854.492034004805,1.6644012073372025,33.66719719879039,8.284253564998188,355.0,211.531,29.70250223371515,3774.560389925654,0.11768643261546657,2109266.0,0.0018734727365656478,0.03262772560878561,0.0007957981855801369,0.6356472505854509,P08_PLAY,1
865.0860916613622,292.50707511407387,-344.0,1718.0,85560.38899179045,920.0,245.0,487.7484086569064,163.67947324226924,93.0,1246.0,26790.969960866736,465.0,184.0,1233.3587899623678,2579.3750243789973,43578.467621483505,497.3174173053778,4877.281769004226,261028.25266711862,41.5451619715293,90.72910407847058,1536.8701962104672,39447.23109634461,1.6914425825531807,33.21836702212319,16.459589804174012,822.0,208.711,30.103827780998603,3302.110456861332,0.06897012333069016,2377486.0,0.002224952042145067,0.02960369250358109,0.001273277096928219,0.6892145195404638,P09_PLAY,1
940.2280394653087,322.97915081593624,-131.0,2052.0,104315.53186178328,938.0,229.0,497.66931890515593,228.80994981099215,-365.0,1767.0,52353.993132508745,464.5,252.0,3824.7791597434853,4390.23321062144,48458.38795824372,2235.0739485653617,12569.493335042978,747034.8454468214,118.89779491434369,139.2110309906582,1308.3764748725805,95822.44632172638,1.9455601789463737,36.78417953207067,134.81430178173463,8107.0,231.115,27.185600242303614,-4793.514502544729,-0.0648641380701361,4654156.0,0.0006597360493679251,0.003342352379436575,0.0,0.635937211027442,P10_PLAY,2
