x,y,timestamp,participant,cluster
653.0,458.125,0.0,CLUSTER_0_MEAN,0
626.2433243871711,453.5751663584093,32.0,CLUSTER_0_MEAN,0
495.5693460132877,443.0560088831117,64.0,CLUSTER_0_MEAN,0
452.91581899651754,446.4563034081876,96.0,CLUSTER_0_MEAN,0
387.35802605098525,456.0183477126711,128.0,CLUSTER_0_MEAN,0
347.0651973458798,440.7196755622663,160.0,CLUSTER_0_MEAN,0
358.28648048722084,442.6645244568718,192.0,CLUSTER_0_MEAN,0
356.79888149079784,442.2788266950653,224.0,CLUSTER_0_MEAN,0
349.459318341052,444.36595212169385,256.0,CLUSTER_0_MEAN,0
343.3854714501839,436.3966832966375,288.0,CLUSTER_0_MEAN,0
326.50061712184873,426.32590598739495,320.0,CLUSTER_0_MEAN,0
311.80833433731914,456.3123682268606,352.0,CLUSTER_0_MEAN,0
296.2330570291777,456.93598585322724,384.0,CLUSTER_0_MEAN,0
276.3832004328737,407.58123098269095,416.0,CLUSTER_0_MEAN,0
280.22696580857036,427.33818219538466,448.0,CLUSTER_0_MEAN,0
282.33883788625167,435.70419030203504,480.0,CLUSTER_0_MEAN,0
273.25663514324276,428.2788854684131,512.0,CLUSTER_0_MEAN,0
275.82107428208735,444.1856590821813,544.0,CLUSTER_0_MEAN,0
280.2115090638529,454.52400568181827,576.0,CLUSTER_0_MEAN,0
337.11836969873764,494.6637514647091,608.0,CLUSTER_0_MEAN,0
331.92653774410326,524.4601847674428,640.0,CLUSTER_0_MEAN,0
349.4107099089636,520.1579384531591,672.0,CLUSTER_0_MEAN,0
373.67416956089465,527.3407516516382,704.0,CLUSTER_0_MEAN,0
342.6545138678742,500.90861851549835,736.0,CLUSTER_0_MEAN,0
357.36230640167474,447.0520505144074,768.0,CLUSTER_0_MEAN,0
395.3146597852307,435.9728752916434,800.0,CLUSTER_0_MEAN,0
404.88771437520535,447.09634428841366,832.0,CLUSTER_0_MEAN,0
404.5560562350203,446.0256780696027,864.0,CLUSTER_0_MEAN,0
385.59281855587733,440.8590055962778,896.0,CLUSTER_0_MEAN,0
384.44187973469695,455.67502706926894,928.0,CLUSTER_0_MEAN,0
372.8178856443103,436.0688395985271,960.0,CLUSTER_0_MEAN,0
379.204940869417,437.6726436914856,992.0,CLUSTER_0_MEAN,0
391.4002044840972,428.0624612320299,1024.0,CLUSTER_0_MEAN,0
388.6364609638047,420.4175305292904,1056.0,CLUSTER_0_MEAN,0
385.7444618053454,415.5401357932608,1088.0,CLUSTER_0_MEAN,0
368.07396001272014,391.54364004510916,1120.0,CLUSTER_0_MEAN,0
388.8568794169887,364.2173591720432,1152.0,CLUSTER_0_MEAN,0
393.0482020911045,360.56968575716616,1184.0,CLUSTER_0_MEAN,0
410.9792786524434,361.0925144599629,1216.0,CLUSTER_0_MEAN,0
432.7922163505493,355.794577996311,1248.0,CLUSTER_0_MEAN,0
443.8829467426775,357.1876529959111,1280.0,CLUSTER_0_MEAN,0
456.5848476858264,377.65165289981655,1312.0,CLUSTER_0_MEAN,0
486.1440493737076,400.06653962396746,1344.0,CLUSTER_0_MEAN,0
486.5028027405122,417.6523952881389,1376.0,CLUSTER_0_MEAN,0
476.00992982295134,426.0105154032061,1408.0,CLUSTER_0_MEAN,0
414.5576074736434,431.4702499677541,1440.0,CLUSTER_0_MEAN,0
425.9548440500575,416.6326081567253,1472.0,CLUSTER_0_MEAN,0
484.4754199400051,396.2249771556566,1504.0,CLUSTER_0_MEAN,0
497.3874641580148,352.26501665873707,1536.0,CLUSTER_0_MEAN,0
507.2688849322411,321.46029400394025,1568.0,CLUSTER_0_MEAN,0
502.7092846249671,328.19781371923517,1600.0,CLUSTER_0_MEAN,0
456.6049266400179,310.39813128066567,1632.0,CLUSTER_0_MEAN,0
416.4047026044607,300.42398868280645,1664.0,CLUSTER_0_MEAN,0
412.31592619678815,302.8940830978707,1696.0,CLUSTER_0_MEAN,0
395.7561385508793,302.3687964747676,1728.0,CLUSTER_0_MEAN,0
374.2059502170278,293.54481435894684,1760.0,CLUSTER_0_MEAN,0
368.60890417964094,294.9437984504448,1792.0,CLUSTER_0_MEAN,0
332.96794725507186,295.8478996103857,1824.0,CLUSTER_0_MEAN,0
288.9816162933303,295.92606234761405,1856.0,CLUSTER_0_MEAN,0
286.8781304994445,291.94615038665563,1888.0,CLUSTER_0_MEAN,0
286.3076370208928,291.7004256918541,1920.0,CLUSTER_0_MEAN,0
287.3441876076605,291.1084608736538,1952.0,CLUSTER_0_MEAN,0
291.0466021507323,295.34239213475996,1984.0,CLUSTER_0_MEAN,0
281.16633892155306,294.4009310730056,2016.0,CLUSTER_0_MEAN,0
276.0806944843891,292.20687990068654,2048.0,CLUSTER_0_MEAN,0
280.2238798497958,286.85674770930694,2080.0,CLUSTER_0_MEAN,0
288.5982708453023,291.07878893214684,2112.0,CLUSTER_0_MEAN,0
348.2942710816251,308.1141019783887,2144.0,CLUSTER_0_MEAN,0
435.6229093482524,327.81486128480435,2176.0,CLUSTER_0_MEAN,0
442.8057705873978,330.31387395708515,2208.0,CLUSTER_0_MEAN,0
456.66035553171946,327.8846294438706,2240.0,CLUSTER_0_MEAN,0
461.1678229337712,315.9233955938697,2272.0,CLUSTER_0_MEAN,0
471.8420210996276,324.5607955826008,2304.0,CLUSTER_0_MEAN,0
496.74937880324535,352.9936612576065,2336.0,CLUSTER_0_MEAN,0
420.4257873920121,372.9449899769798,2368.0,CLUSTER_0_MEAN,0
399.00576810465566,385.14714937699216,2400.0,CLUSTER_0_MEAN,0
418.6069852941177,374.2371255446623,2432.0,CLUSTER_0_MEAN,0
433.23634760016864,385.97891464265956,2464.0,CLUSTER_0_MEAN,0
457.22100205747853,402.57838616981826,2496.0,CLUSTER_0_MEAN,0
438.3441842431762,417.1419266217654,2528.0,CLUSTER_0_MEAN,0
444.3875468800794,423.0189517686942,2560.0,CLUSTER_0_MEAN,0
447.8558969783386,431.8113862392505,2592.0,CLUSTER_0_MEAN,0
446.91887998803526,420.7267086756839,2624.0,CLUSTER_0_MEAN,0
449.3486791268232,417.5230029943011,2656.0,CLUSTER_0_MEAN,0
446.1892621703854,417.32255324543615,2688.0,CLUSTER_0_MEAN,0
433.77698179924346,411.83123046982075,2720.0,CLUSTER_0_MEAN,0
421.64802823328995,426.140237531139,2752.0,CLUSTER_0_MEAN,0
384.7798172405647,423.3949386851722,2784.0,CLUSTER_0_MEAN,0
319.4657066870129,429.18020035878646,2816.0,CLUSTER_0_MEAN,0
333.30614166473964,370.92316830052766,2848.0,CLUSTER_0_MEAN,0
