n_clusters,silhouette_score,davies_bouldin_index,calinski_harabasz_score,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,aggregate_rank,selected
2,0.2162162946362197,1.6429136860704474,6.248700121108461,2.0,9.0,5.0,16.0,False
3,0.2116017362970339,1.4414152748565723,6.19212631958642,3.0,8.0,6.0,17.0,False
4,0.2482950593742331,0.9370077700512611,7.132730052749019,1.0,1.0,1.0,3.0,True
5,0.20576564202774864,1.1097440447352624,6.250455537105933,4.0,5.0,4.0,13.0,False
6,0.1400330952613553,1.1021570997524959,6.658234972215166,5.0,4.0,2.0,11.0,False
7,0.1322369362005977,1.1276941320929417,6.449928863617672,6.0,6.0,3.0,15.0,False
8,0.1183311435552767,1.0695849101225543,5.896056192939609,7.0,3.0,7.0,17.0,False
9,0.09180871180198476,1.0109219853394098,5.277044644685698,8.0,2.0,8.0,18.0,False
10,0.020740603205027287,1.2901654415758133,3.5097518209481433,9.0,7.0,9.0,25.0,False
