participant,set,activity,x,y,timestamp
P05,A,PLAY,999,-11,0
P05,A,PLAY,994,13,21
P05,A,PLAY,998,-17,56
P05,A,PLAY,1007,0,89
P05,A,PLAY,1006,10,120
P05,A,PLAY,1015,187,150
P05,A,PLAY,994,378,179
P05,A,PLAY,1002,410,209
P05,A,PLAY,1017,406,239
P05,A,PLAY,1020,394,270
P05,A,PLAY,1016,395,300
P05,A,PLAY,1012,407,331
P05,A,PLAY,1010,401,363
P05,A,PLAY,1101,531,394
P05,A,PLAY,1111,730,426
P05,A,PLAY,1108,733,457
P05,A,PLAY,1104,742,487
P05,A,PLAY,1098,742,517
P05,A,PLAY,1115,719,547
P05,A,PLAY,1108,735,578
P05,A,PLAY,1112,739,608
P05,A,PLAY,1116,723,642
P05,A,PLAY,1111,729,672
P05,A,PLAY,1117,726,702
P05,A,PLAY,1113,721,732
P05,A,PLAY,1115,717,762
P05,A,PLAY,1105,724,792
P05,A,PLAY,1100,736,822
P05,A,PLAY,1097,740,852
P05,A,PLAY,1114,717,883
P05,A,PLAY,1112,704,913
P05,A,PLAY,1098,713,943
P05,A,PLAY,1100,764,975
P05,A,PLAY,1101,724,1005
P05,A,PLAY,1107,743,1036
P05,A,PLAY,1098,712,1066
P05,A,PLAY,1101,725,1096
P05,A,PLAY,914,615,1125
P05,A,PLAY,828,551,1155
P05,A,PLAY,806,540,1188
P05,A,PLAY,814,549,1219
P05,A,PLAY,804,554,1249
P05,A,PLAY,807,523,1279
P05,A,PLAY,805,541,1309
P05,A,PLAY,809,540,1339
P05,A,PLAY,816,555,1370
P05,A,PLAY,803,558,1400
P05,A,PLAY,827,541,1430
P05,A,PLAY,1029,646,1459
P05,A,PLAY,1058,614,1489
P05,A,PLAY,1045,644,1519
P05,A,PLAY,1064,610,1549
P05,A,PLAY,1057,648,1578
P05,A,PLAY,1051,639,1608
P05,A,PLAY,1071,616,1637
P05,A,PLAY,1111,680,1667
P05,A,PLAY,1109,703,1695
P05,A,PLAY,1098,718,1725
P05,A,PLAY,1106,705,1757
P05,A,PLAY,1120,699,1788
P05,A,PLAY,1107,701,1816
P05,A,PLAY,1108,719,1846
P05,A,PLAY,1113,711,1875
P05,A,PLAY,1116,691,1905
P05,A,PLAY,1109,707,1934
P05,A,PLAY,1108,696,1965
P05,A,PLAY,1118,713,1994
P05,A,PLAY,1112,707,2025
P05,A,PLAY,1118,696,2055
P05,A,PLAY,1112,709,2086
P05,A,PLAY,1118,691,2116
P05,A,PLAY,1127,688,2147
P05,A,PLAY,1107,699,2177
P05,A,PLAY,1111,703,2208
P05,A,PLAY,1129,680,2238
P05,A,PLAY,1124,693,2268
P05,A,PLAY,1123,701,2302
P05,A,PLAY,1136,699,2332
P05,A,PLAY,1106,726,2362
P05,A,PLAY,1097,737,2392
P05,A,PLAY,832,679,2422
P05,A,PLAY,688,652,2452
P05,A,PLAY,662,657,2482
P05,A,PLAY,669,673,2510
P05,A,PLAY,678,678,2538
P05,A,PLAY,683,667,2566
P05,A,PLAY,668,666,2596
P05,A,PLAY,859,666,2626
P05,A,PLAY,1067,714,2657
P05,A,PLAY,1079,682,2685
P05,A,PLAY,1072,707,2714
P05,A,PLAY,1072,715,2743
P05,A,PLAY,1076,732,2773
P05,A,PLAY,1123,696,2802
P05,A,PLAY,1115,684,2832
P05,A,PLAY,1119,692,2865
P05,A,PLAY,1110,704,2896
P05,A,PLAY,1092,731,2925
P05,A,PLAY,1117,701,2955
P05,A,PLAY,1095,698,2984
P05,A,PLAY,1201,644,3013
P05,A,PLAY,971,372,3272
P05,A,PLAY,974,364,3330
P05,A,PLAY,972,370,3398
P05,A,PLAY,964,368,3429
P05,A,PLAY,1098,532,3465
P05,A,PLAY,1153,713,3497
P05,A,PLAY,1131,725,3519
P05,A,PLAY,1138,718,3548
P05,A,PLAY,1144,720,3577
P05,A,PLAY,1140,747,3606
P05,A,PLAY,1146,718,3634
P05,A,PLAY,1127,710,3662
P05,A,PLAY,1106,754,3691
P05,A,PLAY,1126,710,3720
P05,A,PLAY,1121,719,3749
P05,A,PLAY,1122,725,3778
P05,A,PLAY,1130,715,3808
P05,A,PLAY,1130,700,3837
P05,A,PLAY,1135,702,3865
P05,A,PLAY,1111,734,3894
P05,A,PLAY,1123,735,3922
P05,A,PLAY,1108,727,3950
P05,A,PLAY,1131,713,3982
P05,A,PLAY,1115,729,4012
P05,A,PLAY,1112,747,4040
P05,A,PLAY,1129,703,4069
P05,A,PLAY,1116,730,4098
P05,A,PLAY,1127,706,4126
P05,A,PLAY,1110,729,4155
P05,A,PLAY,1131,694,4183
P05,A,PLAY,1118,710,4211
P05,A,PLAY,1114,736,4240
P05,A,PLAY,1124,708,4268
P05,A,PLAY,1122,716,4296
P05,A,PLAY,1121,726,4325
P05,A,PLAY,1118,746,4355
P05,A,PLAY,1123,735,4384
P05,A,PLAY,1120,742,4412
P05,A,PLAY,1130,731,4441
P05,A,PLAY,1122,749,4469
P05,A,PLAY,1124,726,4498
P05,A,PLAY,1121,715,4530
P05,A,PLAY,1118,746,4559
P05,A,PLAY,1120,698,4588
P05,A,PLAY,1114,739,4617
P05,A,PLAY,1122,726,4645
P05,A,PLAY,1118,714,4673
P05,A,PLAY,1123,736,4702
P05,A,PLAY,1140,712,4730
P05,A,PLAY,928,717,4758
P05,A,PLAY,535,737,4787
P05,A,PLAY,312,860,4816
P05,A,PLAY,312,880,4844
P05,A,PLAY,309,867,4872
P05,A,PLAY,320,870,4902
P05,A,PLAY,333,878,4931
P05,A,PLAY,321,876,4959
P05,A,PLAY,262,867,4987
P05,A,PLAY,4,907,5015
P05,A,PLAY,31,921,5043
P05,A,PLAY,6,930,5075
P05,A,PLAY,16,910,5103
P05,A,PLAY,19,930,5130
P05,A,PLAY,26,904,5158
P05,A,PLAY,20,904,5185
P05,A,PLAY,52,905,5213
P05,A,PLAY,25,901,5241
P05,A,PLAY,448,722,5270
P05,A,PLAY,863,664,5297
P05,A,PLAY,1055,655,5325
P05,A,PLAY,1051,650,5350
P05,A,PLAY,1055,648,5379
P05,A,PLAY,1063,646,5408
P05,A,PLAY,1055,659,5436
P05,A,PLAY,1150,657,5466
P05,A,PLAY,1163,693,5495
P05,A,PLAY,1161,705,5524
P05,A,PLAY,1155,683,5552
P05,A,PLAY,1153,684,5582
P05,A,PLAY,1162,678,5610
P05,A,PLAY,1165,683,5643
P05,A,PLAY,1165,694,5673
P05,A,PLAY,1161,688,5702
P05,A,PLAY,1155,689,5732
P05,A,PLAY,1144,727,5760
P05,A,PLAY,1153,721,5789
P05,A,PLAY,1157,700,5817
P05,A,PLAY,1149,701,5846
P05,A,PLAY,976,540,5874
P05,A,PLAY,877,411,5903
P05,A,PLAY,877,388,5933
P05,A,PLAY,876,399,5963
P05,A,PLAY,885,385,5992
P05,A,PLAY,879,394,6023
P05,A,PLAY,884,387,6053
P05,A,PLAY,883,399,6083
P05,A,PLAY,881,397,6112
P05,A,PLAY,883,404,6142
P05,A,PLAY,893,383,6171
P05,A,PLAY,883,416,6204
P05,A,PLAY,891,386,6235
P05,A,PLAY,891,377,6264
P05,A,PLAY,886,388,6293
P05,A,PLAY,890,390,6323
P05,A,PLAY,881,379,6353
P05,A,PLAY,824,312,6382
P05,A,PLAY,732,224,6412
P05,A,PLAY,645,184,6442
P05,A,PLAY,631,219,6472
P05,A,PLAY,650,205,6501
P05,A,PLAY,647,194,6531
P05,A,PLAY,644,203,6562
P05,A,PLAY,649,207,6593
P05,A,PLAY,615,190,6623
P05,A,PLAY,562,132,6652
P05,A,PLAY,654,-18,6682
P05,A,PLAY,923,-48,6712
P05,A,PLAY,954,-75,6742
P05,A,PLAY,953,-76,6776
P05,A,PLAY,959,-77,6807
P05,A,PLAY,948,-61,6838
P05,A,PLAY,951,-79,6869
P05,A,PLAY,956,-69,6900
P05,A,PLAY,975,-76,6932
P05,A,PLAY,973,-76,6963
P05,A,PLAY,987,-63,6994
P05,A,PLAY,986,-68,7026
P05,A,PLAY,976,-66,7057
P05,A,PLAY,977,-70,7089
P05,A,PLAY,974,-74,7123
P05,A,PLAY,983,-79,7157
P05,A,PLAY,969,-59,7188
P05,A,PLAY,1074,-11,7220
P05,A,PLAY,1152,144,7253
P05,A,PLAY,1278,441,7299
P05,A,PLAY,1219,696,7374
P05,A,PLAY,1201,716,7483
P05,A,PLAY,1150,766,7586
P05,A,PLAY,1153,730,7670
P05,A,PLAY,1174,734,7708
P05,A,PLAY,1163,736,7739
P05,A,PLAY,1167,736,7769
P05,A,PLAY,1167,725,7800
P05,A,PLAY,1155,746,7830
P05,A,PLAY,1162,732,7861
P05,A,PLAY,1142,748,7892
P05,A,PLAY,1146,738,7923
P05,A,PLAY,1148,755,7954
P05,A,PLAY,1159,741,7989
P05,A,PLAY,1150,749,8022
P05,A,PLAY,1151,736,8053
P05,A,PLAY,1151,738,8084
P05,A,PLAY,1143,738,8116
P05,A,PLAY,1155,725,8148
P05,A,PLAY,1153,727,8179
P05,A,PLAY,1147,730,8210
P05,A,PLAY,1151,738,8243
P05,A,PLAY,1147,718,8274
P05,A,PLAY,1162,717,8306
P05,A,PLAY,1171,710,8337
P05,A,PLAY,1167,737,8369
P05,A,PLAY,1159,729,8400
P05,A,PLAY,1144,728,8430
P05,A,PLAY,1160,733,8461
P05,A,PLAY,1156,729,8491
P05,A,PLAY,1156,727,8522
P05,A,PLAY,1163,736,8555
P05,A,PLAY,1149,738,8587
P05,A,PLAY,1152,720,8617
P05,A,PLAY,1155,732,8648
P05,A,PLAY,1169,719,8678
P05,A,PLAY,1147,726,8708
P05,A,PLAY,1144,731,8738
P05,A,PLAY,1144,735,8768
P05,A,PLAY,1167,725,8800
P05,A,PLAY,1168,704,8831
P05,A,PLAY,1157,717,8862
P05,A,PLAY,1155,726,8892
P05,A,PLAY,1146,731,8922
P05,A,PLAY,1161,724,8952
P05,A,PLAY,1147,738,8982
P05,A,PLAY,1162,714,9012
P05,A,PLAY,1156,713,9042
P05,A,PLAY,1145,732,9072
P05,A,PLAY,1158,736,9106
P05,A,PLAY,1164,729,9137
