participant,set,activity,x,y,timestamp
P15,B,PLAY,272,532,0
P15,B,PLAY,201,514,32
P15,B,PLAY,133,506,66
P15,B,PLAY,141,507,98
P15,B,PLAY,136,499,131
P15,B,PLAY,127,493,163
P15,B,PLAY,131,506,194
P15,B,PLAY,126,491,226
P15,B,PLAY,121,498,258
P15,B,PLAY,113,492,289
P15,B,PLAY,96,490,320
P15,B,PLAY,111,495,351
P15,B,PLAY,104,493,381
P15,B,PLAY,100,490,411
P15,B,PLAY,96,498,441
P15,B,PLAY,103,483,471
P15,B,PLAY,90,485,504
P15,B,PLAY,97,481,535
P15,B,PLAY,95,480,566
P15,B,PLAY,96,476,596
P15,B,PLAY,98,488,627
P15,B,PLAY,103,491,658
P15,B,PLAY,98,487,688
P15,B,PLAY,101,481,719
P15,B,PLAY,103,487,749
P15,B,PLAY,98,489,780
P15,B,PLAY,101,487,810
P15,B,PLAY,109,490,842
P15,B,PLAY,110,483,874
P15,B,PLAY,110,484,905
P15,B,PLAY,107,481,936
P15,B,PLAY,109,476,968
P15,B,PLAY,106,487,1001
P15,B,PLAY,318,467,1032
P15,B,PLAY,328,456,1067
P15,B,PLAY,327,462,1099
P15,B,PLAY,316,463,1131
P15,B,PLAY,326,458,1162
P15,B,PLAY,327,459,1193
P15,B,PLAY,328,454,1224
P15,B,PLAY,329,460,1255
P15,B,PLAY,308,461,1286
P15,B,PLAY,109,472,1317
P15,B,PLAY,114,474,1347
P15,B,PLAY,119,472,1380
P15,B,PLAY,129,479,1412
P15,B,PLAY,122,471,1444
P15,B,PLAY,127,472,1476
P15,B,PLAY,75,475,1507
P15,B,PLAY,74,472,1537
P15,B,PLAY,76,479,1568
P15,B,PLAY,72,475,1599
P15,B,PLAY,73,485,1632
P15,B,PLAY,80,480,1664
P15,B,PLAY,80,478,1695
P15,B,PLAY,74,482,1725
P15,B,PLAY,72,479,1756
P15,B,PLAY,79,476,1788
P15,B,PLAY,72,477,1818
P15,B,PLAY,42,500,1849
P15,B,PLAY,55,487,1879
P15,B,PLAY,59,490,1910
P15,B,PLAY,59,481,1941
P15,B,PLAY,53,483,1972
P15,B,PLAY,63,489,2003
P15,B,PLAY,55,490,2034
P15,B,PLAY,56,483,2065
P15,B,PLAY,58,482,2097
P15,B,PLAY,187,455,2128
P15,B,PLAY,298,434,2160
P15,B,PLAY,319,437,2194
P15,B,PLAY,322,439,2226
P15,B,PLAY,322,426,2258
P15,B,PLAY,318,435,2288
P15,B,PLAY,327,436,2320
P15,B,PLAY,317,433,2350
P15,B,PLAY,291,429,2381
P15,B,PLAY,237,445,2413
P15,B,PLAY,233,444,2443
P15,B,PLAY,234,438,2473
P15,B,PLAY,230,440,2504
P15,B,PLAY,228,444,2534
P15,B,PLAY,222,443,2565
P15,B,PLAY,229,445,2596
P15,B,PLAY,224,439,2627
P15,B,PLAY,231,437,2657
P15,B,PLAY,219,441,2688
P15,B,PLAY,226,442,2718
P15,B,PLAY,235,432,2752
P15,B,PLAY,229,434,2783
P15,B,PLAY,226,429,2813
P15,B,PLAY,229,444,2843
P15,B,PLAY,234,440,2873
P15,B,PLAY,222,427,2903
P15,B,PLAY,225,433,2934
P15,B,PLAY,232,437,2965
P15,B,PLAY,233,435,2995
P15,B,PLAY,230,432,3025
P15,B,PLAY,229,428,3056
P15,B,PLAY,241,410,3086
P15,B,PLAY,239,407,3116
P15,B,PLAY,239,402,3147
P15,B,PLAY,237,404,3177
P15,B,PLAY,241,404,3209
P15,B,PLAY,240,397,3239
P15,B,PLAY,238,400,3270
P15,B,PLAY,243,416,3305
P15,B,PLAY,15,487,3336
P15,B,PLAY,0,476,3368
P15,B,PLAY,-2,479,3400
P15,B,PLAY,9,486,3430
P15,B,PLAY,-7,480,3462
P15,B,PLAY,2,487,3493
P15,B,PLAY,-452,460,3524
P15,B,PLAY,-1661,65,3556
P15,B,PLAY,264,405,4160
P15,B,PLAY,269,400,4204
P15,B,PLAY,281,412,4230
P15,B,PLAY,108,473,4259
P15,B,PLAY,130,458,4290
P15,B,PLAY,127,455,4320
P15,B,PLAY,123,441,4350
P15,B,PLAY,134,449,4380
P15,B,PLAY,133,453,4414
P15,B,PLAY,142,460,4445
P15,B,PLAY,132,446,4476
P15,B,PLAY,380,413,4507
P15,B,PLAY,568,378,4537
P15,B,PLAY,585,367,4568
P15,B,PLAY,574,375,4599
P15,B,PLAY,579,373,4630
P15,B,PLAY,581,381,4660
P15,B,PLAY,277,149,4692
P15,B,PLAY,249,170,4723
P15,B,PLAY,255,181,4753
P15,B,PLAY,256,182,4784
P15,B,PLAY,261,183,4814
P15,B,PLAY,255,179,4844
P15,B,PLAY,249,185,4875
P15,B,PLAY,268,196,4905
P15,B,PLAY,255,191,4936
P15,B,PLAY,276,219,4970
P15,B,PLAY,436,145,5001
P15,B,PLAY,560,154,5032
P15,B,PLAY,555,152,5063
P15,B,PLAY,558,149,5095
P15,B,PLAY,560,162,5126
P15,B,PLAY,563,150,5156
P15,B,PLAY,568,151,5186
P15,B,PLAY,642,149,5217
P15,B,PLAY,649,141,5247
P15,B,PLAY,649,148,5277
P15,B,PLAY,649,147,5308
P15,B,PLAY,638,142,5338
P15,B,PLAY,649,146,5368
P15,B,PLAY,358,399,5399
P15,B,PLAY,214,607,5429
P15,B,PLAY,205,602,5460
P15,B,PLAY,189,594,5490
P15,B,PLAY,175,591,5524
P15,B,PLAY,185,595,5555
P15,B,PLAY,196,603,5586
P15,B,PLAY,183,598,5617
P15,B,PLAY,164,540,5648
P15,B,PLAY,152,539,5678
P15,B,PLAY,144,532,5709
P15,B,PLAY,138,520,5739
P15,B,PLAY,158,536,5770
P15,B,PLAY,164,535,5801
P15,B,PLAY,149,540,5831
P15,B,PLAY,306,451,5862
P15,B,PLAY,340,449,5892
P15,B,PLAY,351,451,5922
P15,B,PLAY,356,457,5952
P15,B,PLAY,371,466,5982
P15,B,PLAY,349,462,6013
P15,B,PLAY,358,454,6042
P15,B,PLAY,353,447,6076
P15,B,PLAY,357,459,6107
P15,B,PLAY,347,444,6137
P15,B,PLAY,350,457,6167
P15,B,PLAY,180,451,6197
P15,B,PLAY,189,465,6227
P15,B,PLAY,205,470,6258
P15,B,PLAY,197,451,6288
P15,B,PLAY,199,473,6318
P15,B,PLAY,93,470,6348
P15,B,PLAY,105,475,6378
P15,B,PLAY,104,467,6408
P15,B,PLAY,112,473,6440
P15,B,PLAY,110,480,6471
P15,B,PLAY,107,462,6501
P15,B,PLAY,105,484,6532
P15,B,PLAY,105,424,6562
P15,B,PLAY,102,425,6593
P15,B,PLAY,102,425,6626
P15,B,PLAY,105,431,6657
P15,B,PLAY,107,431,6687
P15,B,PLAY,103,431,6718
P15,B,PLAY,100,426,6748
P15,B,PLAY,98,415,6778
P15,B,PLAY,102,427,6808
P15,B,PLAY,105,435,6839
P15,B,PLAY,111,431,6869
P15,B,PLAY,94,428,6899
P15,B,PLAY,112,445,6930
P15,B,PLAY,104,436,6960
P15,B,PLAY,101,432,6990
P15,B,PLAY,106,435,7020
P15,B,PLAY,111,435,7051
P15,B,PLAY,118,433,7081
P15,B,PLAY,117,472,7111
P15,B,PLAY,119,483,7141
P15,B,PLAY,111,469,7175
P15,B,PLAY,121,484,7206
P15,B,PLAY,117,467,7237
P15,B,PLAY,122,482,7267
P15,B,PLAY,122,474,7297
P15,B,PLAY,120,459,7328
P15,B,PLAY,123,475,7358
P15,B,PLAY,123,475,7388
P15,B,PLAY,125,473,7419
P15,B,PLAY,130,485,7449
P15,B,PLAY,127,476,7479
P15,B,PLAY,132,482,7510
P15,B,PLAY,125,471,7540
P15,B,PLAY,134,473,7571
P15,B,PLAY,135,471,7602
P15,B,PLAY,135,474,7632
P15,B,PLAY,133,472,7663
P15,B,PLAY,134,408,7695
P15,B,PLAY,140,415,7730
P15,B,PLAY,140,402,7762
P15,B,PLAY,146,417,7793
P15,B,PLAY,137,421,7825
P15,B,PLAY,145,414,7857
P15,B,PLAY,137,405,7889
P15,B,PLAY,144,409,7921
P15,B,PLAY,140,415,7953
P15,B,PLAY,133,409,7984
P15,B,PLAY,141,411,8016
P15,B,PLAY,146,411,8049
P15,B,PLAY,181,633,8082
P15,B,PLAY,122,1160,8113
P15,B,PLAY,162,537,8969
P15,B,PLAY,102,502,9010
P15,B,PLAY,106,505,9058
P15,B,PLAY,144,488,9086
P15,B,PLAY,144,493,9117
P15,B,PLAY,126,345,9151
P15,B,PLAY,122,365,9181
P15,B,PLAY,128,375,9212
P15,B,PLAY,123,366,9244
P15,B,PLAY,128,356,9275
P15,B,PLAY,129,366,9306
P15,B,PLAY,132,364,9336
P15,B,PLAY,127,359,9367
P15,B,PLAY,130,367,9397
P15,B,PLAY,131,369,9428
P15,B,PLAY,135,356,9462
P15,B,PLAY,136,364,9493
P15,B,PLAY,125,365,9523
P15,B,PLAY,129,370,9554
P15,B,PLAY,131,363,9584
P15,B,PLAY,124,354,9615
P15,B,PLAY,130,353,9645
P15,B,PLAY,134,363,9677
P15,B,PLAY,141,369,9708
P15,B,PLAY,142,362,9739
P15,B,PLAY,135,372,9770
P15,B,PLAY,139,364,9801
P15,B,PLAY,174,452,9832
P15,B,PLAY,186,477,9863
P15,B,PLAY,183,464,9894
P15,B,PLAY,175,464,9924
P15,B,PLAY,171,464,9955
P15,B,PLAY,177,465,9987
P15,B,PLAY,177,469,10021
P15,B,PLAY,170,460,10053
P15,B,PLAY,171,454,10085
P15,B,PLAY,177,456,10117
P15,B,PLAY,177,440,10148
P15,B,PLAY,132,475,10181
P15,B,PLAY,149,467,10215
P15,B,PLAY,147,457,10247
P15,B,PLAY,147,465,10278
P15,B,PLAY,148,471,10310
P15,B,PLAY,148,467,10342
P15,B,PLAY,145,462,10375
P15,B,PLAY,155,468,10408
P15,B,PLAY,144,463,10441
P15,B,PLAY,149,463,10475
P15,B,PLAY,146,467,10508
P15,B,PLAY,147,467,10541
P15,B,PLAY,149,470,10577
P15,B,PLAY,151,459,10610
P15,B,PLAY,143,458,10642
P15,B,PLAY,146,417,10676
P15,B,PLAY,146,419,10709
P15,B,PLAY,146,416,10742
P15,B,PLAY,145,405,10775
P15,B,PLAY,151,413,10808
P15,B,PLAY,149,410,10841
P15,B,PLAY,159,408,10874
P15,B,PLAY,151,412,10907
P15,B,PLAY,154,425,10941
P15,B,PLAY,147,412,10974
P15,B,PLAY,148,415,11007
P15,B,PLAY,204,460,11040
P15,B,PLAY,200,453,11073
P15,B,PLAY,205,454,11106
P15,B,PLAY,204,466,11142
P15,B,PLAY,204,467,11175
P15,B,PLAY,202,452,11208
P15,B,PLAY,215,469,11240
P15,B,PLAY,204,461,11273
P15,B,PLAY,206,464,11305
P15,B,PLAY,215,459,11337
P15,B,PLAY,207,455,11369
P15,B,PLAY,194,453,11401
P15,B,PLAY,204,453,11433
P15,B,PLAY,209,465,11466
P15,B,PLAY,214,464,11498
P15,B,PLAY,384,487,11531
P15,B,PLAY,384,485,11563
P15,B,PLAY,387,486,11595
P15,B,PLAY,392,485,11628
P15,B,PLAY,389,481,11661
P15,B,PLAY,388,477,11698
P15,B,PLAY,386,475,11732
P15,B,PLAY,384,469,11765
P15,B,PLAY,399,468,11797
P15,B,PLAY,390,471,11830
P15,B,PLAY,397,477,11864
P15,B,PLAY,386,471,11897
P15,B,PLAY,404,470,11930
P15,B,PLAY,393,471,11962
P15,B,PLAY,395,468,11995
P15,B,PLAY,405,473,12028
