participant,set,activity,x,y,timestamp
P16,A,PLAY,822,1043,0
P16,A,PLAY,790,1044,27
P16,A,PLAY,810,1027,55
P16,A,PLAY,748,1028,82
P16,A,PLAY,789,1036,108
P16,A,PLAY,745,1002,135
P16,A,PLAY,660,1041,162
P16,A,PLAY,674,1041,189
P16,A,PLAY,611,1013,216
P16,A,PLAY,659,1051,243
P16,A,PLAY,677,1062,270
P16,A,PLAY,642,1033,300
P16,A,PLAY,661,1059,326
P16,A,PLAY,661,1043,353
P16,A,PLAY,661,1050,380
P16,A,PLAY,645,1034,407
P16,A,PLAY,658,1074,435
P16,A,PLAY,709,1057,462
P16,A,PLAY,661,1033,489
P16,A,PLAY,661,1051,516
P16,A,PLAY,695,1050,543
P16,A,PLAY,682,1054,570
P16,A,PLAY,644,1026,596
P16,A,PLAY,653,1047,623
P16,A,PLAY,693,1054,650
P16,A,PLAY,667,1041,676
P16,A,PLAY,682,1043,703
P16,A,PLAY,719,1051,730
P16,A,PLAY,704,1042,757
P16,A,PLAY,706,1073,784
P16,A,PLAY,711,1049,811
P16,A,PLAY,713,1048,838
P16,A,PLAY,705,1057,865
P16,A,PLAY,694,1048,892
P16,A,PLAY,701,1043,918
P16,A,PLAY,714,1060,945
P16,A,PLAY,725,1054,974
P16,A,PLAY,684,1009,1001
P16,A,PLAY,690,1029,1028
P16,A,PLAY,710,1052,1055
P16,A,PLAY,837,610,1082
P16,A,PLAY,838,622,1109
P16,A,PLAY,840,621,1136
P16,A,PLAY,831,642,1164
P16,A,PLAY,819,581,1196
P16,A,PLAY,833,616,1223
P16,A,PLAY,841,626,1251
P16,A,PLAY,847,649,1278
P16,A,PLAY,832,571,1305
P16,A,PLAY,619,715,1539
P16,A,PLAY,832,808,1620
P16,A,PLAY,805,862,1645
P16,A,PLAY,814,891,1685
P16,A,PLAY,795,729,1711
P16,A,PLAY,799,881,1737
P16,A,PLAY,804,893,1764
P16,A,PLAY,814,892,1791
P16,A,PLAY,820,867,1819
P16,A,PLAY,667,784,1847
P16,A,PLAY,456,594,1874
P16,A,PLAY,470,595,1902
P16,A,PLAY,425,589,1929
P16,A,PLAY,442,561,1956
P16,A,PLAY,448,592,1983
P16,A,PLAY,466,588,2010
P16,A,PLAY,447,596,2037
P16,A,PLAY,467,655,2068
P16,A,PLAY,477,653,2098
P16,A,PLAY,452,578,2125
P16,A,PLAY,446,596,2152
P16,A,PLAY,495,609,2179
P16,A,PLAY,949,577,2209
P16,A,PLAY,948,590,2237
P16,A,PLAY,954,592,2264
P16,A,PLAY,966,562,2291
P16,A,PLAY,951,585,2318
P16,A,PLAY,962,573,2344
P16,A,PLAY,954,570,2371
P16,A,PLAY,958,598,2398
P16,A,PLAY,945,592,2425
P16,A,PLAY,960,586,2452
P16,A,PLAY,960,582,2478
P16,A,PLAY,954,577,2505
P16,A,PLAY,946,600,2532
P16,A,PLAY,960,615,2559
P16,A,PLAY,961,574,2586
P16,A,PLAY,962,562,2612
P16,A,PLAY,947,593,2639
P16,A,PLAY,964,610,2668
P16,A,PLAY,960,574,2695
P16,A,PLAY,952,591,2722
P16,A,PLAY,960,572,2749
P16,A,PLAY,1063,722,2775
P16,A,PLAY,1068,764,2802
P16,A,PLAY,1088,749,2829
P16,A,PLAY,1077,743,2861
P16,A,PLAY,1088,747,2888
P16,A,PLAY,1098,739,2915
P16,A,PLAY,1100,748,2942
P16,A,PLAY,1073,823,2969
P16,A,PLAY,1098,779,2996
P16,A,PLAY,1093,777,3024
P16,A,PLAY,1106,781,3052
P16,A,PLAY,1104,767,3081
P16,A,PLAY,1096,791,3109
P16,A,PLAY,1087,807,3136
P16,A,PLAY,1100,809,3163
P16,A,PLAY,1104,643,3192
P16,A,PLAY,1105,181,3330
P16,A,PLAY,1030,-178,3390
P16,A,PLAY,1053,-113,3452
P16,A,PLAY,1044,-97,3478
P16,A,PLAY,1041,-76,3507
P16,A,PLAY,1048,-105,3537
P16,A,PLAY,1023,-121,3565
P16,A,PLAY,952,-134,3593
P16,A,PLAY,942,-143,3622
P16,A,PLAY,956,-148,3651
P16,A,PLAY,927,-168,3679
P16,A,PLAY,952,-121,3707
P16,A,PLAY,946,-142,3733
P16,A,PLAY,944,-140,3761
P16,A,PLAY,939,-128,3791
P16,A,PLAY,947,-158,3820
P16,A,PLAY,1019,-101,3848
P16,A,PLAY,1029,-151,3875
P16,A,PLAY,1011,-155,3904
P16,A,PLAY,1033,-127,3932
P16,A,PLAY,1028,-110,3958
P16,A,PLAY,1037,-118,3986
P16,A,PLAY,1035,-133,4013
P16,A,PLAY,1043,-116,4042
P16,A,PLAY,1054,-115,4069
P16,A,PLAY,1050,-96,4095
P16,A,PLAY,903,22,4123
P16,A,PLAY,749,296,4153
P16,A,PLAY,730,316,4180
P16,A,PLAY,748,305,4207
P16,A,PLAY,737,293,4235
P16,A,PLAY,748,322,4262
P16,A,PLAY,739,293,4290
P16,A,PLAY,751,283,4319
P16,A,PLAY,741,307,4349
P16,A,PLAY,738,305,4378
P16,A,PLAY,745,301,4406
P16,A,PLAY,991,440,4436
P16,A,PLAY,1000,515,4465
P16,A,PLAY,1005,555,4493
P16,A,PLAY,1011,562,4521
P16,A,PLAY,1006,521,4549
P16,A,PLAY,1013,602,4578
P16,A,PLAY,1012,535,4607
P16,A,PLAY,945,346,4637
P16,A,PLAY,938,342,4666
P16,A,PLAY,933,335,4695
P16,A,PLAY,950,356,4722
P16,A,PLAY,933,349,4750
P16,A,PLAY,940,348,4778
P16,A,PLAY,938,330,4806
P16,A,PLAY,950,336,4833
P16,A,PLAY,942,345,4861
P16,A,PLAY,933,345,4890
P16,A,PLAY,937,373,4917
P16,A,PLAY,934,345,4946
P16,A,PLAY,940,341,4975
P16,A,PLAY,942,322,5003
P16,A,PLAY,914,313,5031
P16,A,PLAY,917,349,5060
P16,A,PLAY,911,353,5088
P16,A,PLAY,914,355,5117
P16,A,PLAY,922,347,5146
P16,A,PLAY,924,343,5174
P16,A,PLAY,922,352,5203
P16,A,PLAY,917,363,5231
P16,A,PLAY,913,258,5259
P16,A,PLAY,912,262,5287
P16,A,PLAY,916,214,5315
P16,A,PLAY,918,225,5344
P16,A,PLAY,918,218,5372
P16,A,PLAY,917,236,5400
P16,A,PLAY,915,249,5428
P16,A,PLAY,922,255,5458
P16,A,PLAY,918,234,5487
P16,A,PLAY,908,261,5516
P16,A,PLAY,918,233,5544
P16,A,PLAY,924,266,5573
P16,A,PLAY,931,258,5601
P16,A,PLAY,918,272,5630
P16,A,PLAY,933,279,5659
P16,A,PLAY,930,284,5687
P16,A,PLAY,940,272,5714
P16,A,PLAY,936,274,5741
P16,A,PLAY,926,283,5769
P16,A,PLAY,921,281,5797
P16,A,PLAY,926,278,5825
P16,A,PLAY,942,248,5853
P16,A,PLAY,930,267,5880
P16,A,PLAY,928,282,5908
P16,A,PLAY,930,273,5937
P16,A,PLAY,942,285,5965
P16,A,PLAY,933,307,5993
P16,A,PLAY,930,259,6023
P16,A,PLAY,931,255,6051
P16,A,PLAY,922,257,6079
P16,A,PLAY,936,269,6107
P16,A,PLAY,927,290,6135
P16,A,PLAY,932,272,6163
P16,A,PLAY,935,263,6191
P16,A,PLAY,809,277,6219
P16,A,PLAY,807,248,6248
P16,A,PLAY,784,256,6276
P16,A,PLAY,814,250,6304
P16,A,PLAY,804,296,6332
P16,A,PLAY,811,236,6361
P16,A,PLAY,434,308,6389
P16,A,PLAY,905,317,7477
P16,A,PLAY,839,345,7516
P16,A,PLAY,823,237,7552
P16,A,PLAY,810,238,7580
P16,A,PLAY,811,248,7604
P16,A,PLAY,810,239,7633
P16,A,PLAY,815,241,7661
P16,A,PLAY,826,230,7689
P16,A,PLAY,816,254,7719
P16,A,PLAY,812,248,7748
P16,A,PLAY,860,199,7776
P16,A,PLAY,853,194,7805
P16,A,PLAY,838,209,7833
P16,A,PLAY,857,199,7861
P16,A,PLAY,840,185,7890
P16,A,PLAY,1024,251,7918
P16,A,PLAY,1032,268,7948
P16,A,PLAY,1032,248,7977
P16,A,PLAY,1025,264,8006
P16,A,PLAY,1034,264,8034
P16,A,PLAY,1013,273,8063
P16,A,PLAY,1021,261,8092
P16,A,PLAY,1049,260,8120
P16,A,PLAY,1025,259,8149
P16,A,PLAY,1022,264,8177
P16,A,PLAY,1034,254,8206
