participant,set,activity,x,y,timestamp
P24,B,PLAY,1012,604,0
P24,B,PLAY,925,537,38
P24,B,PLAY,601,479,72
P24,B,PLAY,585,476,104
P24,B,PLAY,585,460,135
P24,B,PLAY,620,498,166
P24,B,PLAY,566,494,197
P24,B,PLAY,552,476,228
P24,B,PLAY,563,488,259
P24,B,PLAY,554,476,289
P24,B,PLAY,560,461,320
P24,B,PLAY,607,463,350
P24,B,PLAY,538,479,380
P24,B,PLAY,621,501,410
P24,B,PLAY,653,553,439
P24,B,PLAY,725,622,469
P24,B,PLAY,544,511,499
P24,B,PLAY,654,729,533
P24,B,PLAY,503,407,1653
P24,B,PLAY,554,506,1680
P24,B,PLAY,233,402,1770
P24,B,PLAY,248,402,1816
P24,B,PLAY,280,392,1846
P24,B,PLAY,300,390,1879
P24,B,PLAY,293,385,1911
P24,B,PLAY,286,388,1943
P24,B,PLAY,296,396,1977
P24,B,PLAY,258,381,2009
P24,B,PLAY,210,365,2039
P24,B,PLAY,229,377,2069
P24,B,PLAY,231,368,2099
P24,B,PLAY,217,375,2129
P24,B,PLAY,233,377,2160
P24,B,PLAY,218,371,2190
P24,B,PLAY,237,377,2220
P24,B,PLAY,229,378,2250
P24,B,PLAY,233,372,2280
P24,B,PLAY,347,366,2309
P24,B,PLAY,355,350,2339
P24,B,PLAY,363,368,2369
P24,B,PLAY,362,368,2400
P24,B,PLAY,360,393,2430
P24,B,PLAY,352,377,2460
P24,B,PLAY,355,356,2490
P24,B,PLAY,358,369,2526
P24,B,PLAY,385,382,2557
P24,B,PLAY,390,379,2586
P24,B,PLAY,399,355,2616
P24,B,PLAY,383,378,2645
P24,B,PLAY,257,347,2675
P24,B,PLAY,236,350,2705
P24,B,PLAY,246,356,2734
P24,B,PLAY,241,378,2763
P24,B,PLAY,226,358,2793
P24,B,PLAY,246,351,2822
P24,B,PLAY,224,350,2851
P24,B,PLAY,234,362,2880
P24,B,PLAY,175,359,2910
P24,B,PLAY,157,383,2939
P24,B,PLAY,164,399,2967
P24,B,PLAY,147,380,2996
P24,B,PLAY,174,382,3025
P24,B,PLAY,177,371,3054
P24,B,PLAY,174,377,3087
P24,B,PLAY,168,389,3117
P24,B,PLAY,170,386,3145
P24,B,PLAY,157,376,3174
P24,B,PLAY,175,385,3202
P24,B,PLAY,202,378,3231
