t,x_actual,y_actual,x_pred,y_pred,error
875.0745553307062,641.3416275019966,857.112339876839,663.1927389177991,879.2748464024662,31.123106618785414
916.744772251216,645.4958809596903,870.0367555691997,651.2705023813031,885.7243303830542,16.716646078182947
958.4149891717258,648.8532476781492,869.6142755403592,665.161730345462,903.8683353774104,37.938202675276095
1000.0852060922356,642.1642136173067,860.890782161999,667.8028626633251,890.088899143651,38.85705032782511
1041.7554230127455,645.9174939058989,864.0007353237621,650.9067522258849,872.8548730360322,10.163092699143975
1083.4256399332553,653.5402958140776,871.5402958140776,665.1924780176456,887.8729653928062,20.063136486428935
1125.095856853765,648.1974005157762,840.7332793229141,676.8679213721375,900.0232666792341,65.85819134236559
1166.766073774275,671.4886132209692,778.2863206372149,671.4954506489019,830.1296678428196,51.843347656486266
1208.4362906947847,678.6321102708844,730.9239198352683,710.915823759045,734.5425433963574,32.48588298111217
1250.1065076152945,675.6912977597898,718.1407491035609,702.0833069279574,718.1257081315592,26.392013454139565
1291.7767245358043,679.5933244836765,731.1530930071257,688.9876049896285,731.1582940693755,9.394281945713479
1333.446941456314,825.228932571804,714.4839653339901,825.1873835900328,761.7355786387216,47.25163157201834
1375.117158376824,821.3515793100519,707.5610320646123,990.6939112828994,714.9845248864469,169.50496642776557
1416.7873752973337,827.5510379984232,670.7598481505713,837.2111089982773,717.6413781005095,47.866426879068136
1458.4575922178435,823.4321990272305,662.0263641850393,853.6365088660084,662.0225618775709,30.204310078107053
1500.127809138353,828.3126514638234,663.9124256796125,839.1005636141766,669.2020377844282,12.014950885590475
1541.7980260588631,827.9262034260244,676.024410782561,853.0976029956753,681.7528316277487,25.814998773476724
1583.468242979373,827.0432545176981,701.8880312067313,847.4350357807992,704.3816439868128,20.54368145632982
1625.1384598998827,819.9819138554896,695.3669900596091,846.0344132156735,744.6182162067882,55.717286365301106
1666.8086768203923,790.1370287637731,695.5546937394312,832.6250761830546,705.5559702667197,43.64928070058439
1708.4788937409023,731.9039301310044,698.8689956331878,779.279698507247,712.4569260984523,49.285852773065145
1750.1491106614124,673.642975166992,702.9317806286844,691.2593793250835,718.977442349472,23.828574349280196
1791.8193275819222,679.0033219813233,701.9104567298876,679.0019162945762,723.8863188255249,21.97586214059464
1833.489544502432,682.1330667684406,707.4205615909872,700.6807848391259,717.7563707265457,21.233153230651357
1875.1597614229415,684.3670747130551,714.4678280070796,701.6550003681701,729.9302687939863,23.193952844338163
1916.8299783434516,674.5457704209591,705.8128444720384,703.0468882189832,738.684010329602,43.506634673027754
1958.5001952639616,668.7422644810014,710.8912507368244,680.9343184890557,714.1189032508836,12.612054617976675
2000.1704121844712,643.0292483751572,717.8902589458875,679.0091345079992,733.0526681099867,39.04421670096402
2041.840629104981,641.8588803197789,708.6916063269015,641.8707207388281,742.1404260533449,33.44882182211553
2083.510846025491,649.7902219810305,687.4133583090868,656.1128952923259,716.5231786996343,29.788552179844217
2125.181062946001,656.9596319232063,651.5019292530209,673.3364130719492,682.6541604339982,35.19460851248208
