t,x_actual,y_actual,x_pred,y_pred,alpha,error
0.0,809.1764705882352,603.5882352941177,809.1764705882352,603.5882352941177,0.85,0.0
707.932558179984,691.8478290695937,668.8046143197901,691.8296468150921,668.7870376574108,0.9996334312820714,0.025288998381778217
741.6436323790308,708.8069305029683,672.7558649824103,708.8155912149421,672.7642030037132,0.9996334312820714,0.012022085141092462
775.3547065780776,736.8265246424359,684.5766312599982,736.8283085834237,684.5783630906892,0.9996334312820714,0.002486299054903527
809.0657807771245,750.5048843041329,655.0612369564783,750.5107051214361,655.0669845861138,0.9996334312820714,0.008180290979160666
842.7768549761714,758.3367500271438,608.6943217702471,758.3396150168645,608.6970278378044,0.9996334312820714,0.003940934879464882
876.4879291752183,757.3790348288218,599.9094529204247,757.3799145327903,599.9101687340001,0.9996334312820714,0.0011341376225888354
910.1990033742652,751.3729964693049,599.0512804117611,751.3733559404052,599.0515633473531,0.9996334312820714,0.00045746258987449116
943.910077573312,744.3622158557519,578.6913074949141,744.3625370793443,578.6915698422612,0.9996334312820714,0.00041474175923709755
977.6211517723588,744.1923237741012,561.7325833604771,744.1926611857148,561.7328533082581,0.9996334312820714,0.00043210924714757207
1011.3322259714056,763.3509548238388,561.0463949450404,763.351232889697,561.0466106569152,0.9996334312820714,0.0003519264616200721
1045.0433001704523,759.0387751314228,556.6824905691369,759.0390177572491,556.6826692906237,0.9996334312820714,0.00030134475513696673
1078.7543743694994,758.165601755742,555.5005568746157,758.1657971863184,555.5007003477263,0.9996334312820714,0.00024244101063728929
1112.4654485685462,769.4551726084492,564.793426765745,769.4553644251142,564.7935670489541,0.9996334312820714,0.00023764050943496354
1146.176522767593,783.1312823557447,596.2342626667336,783.1314759249292,596.234399280956,0.9996334312820714,0.00023692293043269146
1179.88759696664,787.5844978216338,619.1479005204606,787.5846934146015,619.148044525935,0.9996334312820714,0.0002428871871248318
1213.5986711656867,814.7000767128101,630.1613472056318,814.7003056048736,630.1615302234923,0.9996334312820714,0.00029306503371798203
1247.3097453647335,846.6780878232234,643.9819572720957,846.6783778251488,643.9821856283714,0.9996334312820714,0.0003691174682898675
1281.0208195637806,823.0002912610485,592.0747196612413,823.0005602390644,592.0749347102867,0.9996334312820714,0.0003443766324737355
1314.7318937628274,822.803037434683,562.8356833424339,822.8032482503256,562.8358424700222,0.9996334312820714,0.00026413031731944915
1348.4429679618745,816.3994174490207,558.8685565780232,816.3995811004154,558.8686684648944,0.9996334312820714,0.00019824341334168964
1382.154042160921,828.0521882414284,517.2659096856981,828.0523135804345,517.2660031924007,0.9996334312820714,0.00015637573301660062
1415.865116359968,799.3594741000389,526.43752468788,799.3596098553069,526.4376052310681,0.9996334312820714,0.0001578502389106117
1449.5761905590148,838.6264457734198,527.0234932108541,838.6265287144386,527.023550574646,0.9996334312820714,0.00010084551160844906
1483.2872647580616,834.8603584650796,548.7473870748175,834.8604771572809,548.7474582864813,0.9996334312820714,0.00013841582178113492
1516.9983389571084,825.5096432851165,565.141328904571,825.509734872005,565.1413866564642,0.9996334312820714,0.00010827483234288498
1550.7094131561553,818.1521487144912,567.0354497117725,818.1522556256862,567.035522006728,0.9996334312820714,0.00012906031227786512
1584.420487355202,792.9937811090443,541.5344732880404,792.9939119081636,541.5345651851441,0.9996334312820714,0.00015985458156649756
1618.131561554249,760.8985364677982,507.3585714079825,760.8986740976229,507.35866743889073,0.9996334312820714,0.0001678210475372367
1651.842635753296,732.3194600175075,476.6278835051757,732.3195913669147,476.62797303211744,0.9996334312820714,0.00015895829661909805
1685.5537099523428,748.9860807609964,490.2298611396604,748.9861978918885,490.2299369310332,0.9996334312820714,0.0001395133616705961
1719.2647841513897,771.3494877336973,502.5545706196986,771.3496046449685,502.55464751202624,0.9996334312820714,0.00013993096650229941
1752.9758583504365,763.2805787306451,506.54824788083687,763.2807011662832,506.5483262022032,0.9996334312820714,0.00014534346185584085
1786.6869325494831,751.2947161947894,506.7577270335081,751.2948291016345,506.7578007734707,0.9996334312820714,0.00013485376430094845
1820.3980067485304,750.024193456876,505.7229601638041,750.0243135160212,505.7230411694673,0.9996334312820714,0.00014483133573319198
1854.109080947577,752.5614939029612,505.9528633665416,752.5616253613326,505.95295226514634,0.9996334312820714,0.00015869551146016714
1887.820155146624,746.2030000968722,511.19978679069067,746.2031338620509,511.1998750478827,0.9996334312820714,0.0001602574646587637
1921.531229345671,746.031812544662,508.5172758601346,746.0319416599472,508.51736475053633,0.9996334312820714,0.00015675541581693263
1955.2423035447175,753.4294936745057,526.5210423087132,753.4296343010807,526.5211357021287,0.9996334312820714,0.00016881399131799278
1988.9533777437648,765.5711941275524,568.1837399417166,765.5713323871125,568.1838303798655,0.9996334312820714,0.00016521127307458347
2022.6644519428112,770.0048318408458,555.656305554996,770.0049873031144,555.6564241383518,0.9996334312820714,0.000195526287787006
2056.3755261418582,762.6692602358506,523.1893779942253,762.6694698550768,523.189536582015,0.9996334312820714,0.00026285035100886376
2090.086600340905,772.2062571384915,511.4139897356064,772.206429684277,511.4141123089073,0.9996334312820714,0.00021165127497871052
2123.797674539952,774.7281707625281,503.0546155790232,774.7283119886649,503.0547109585982,0.9996334312820714,0.00017041738484498457
2157.5087487389987,783.2186183899934,501.904896809108,783.2187369293902,501.9049748152874,0.9996334312820714,0.00014190332138588533
2191.2198229380456,803.1485691954042,497.3572891095384,803.1486779832775,497.3573612903439,0.9996334312820714,0.00013055600350952624
2224.9308971370924,810.5390823059599,490.6533864800043,810.5391880734201,490.65345348156205,0.9996334312820714,0.00012520369148350706
2258.6419713361392,816.808580315627,498.8443360756483,816.8086708320716,498.84439038076135,0.9996334312820714,0.00010555696117312504
2292.353045535186,834.8829379824614,494.3833664856729,834.8830201031615,494.3834182282298,0.9996334312820714,9.706235920644467e-05
2326.064119734233,842.0029955957541,499.18447681433014,842.0030816903702,499.18452774046176,0.9996334312820714,0.00010002876488651926
