mean_x,mean_y,var_x,var_y,participant,cluster
-7.3870589812616e-17,8.86447077751392e-17,1.0,1.0000000000000002,P01_PLAY,0
1.5965383881327e-16,2.727419746393363e-16,1.0000000000000002,1.0,P03_PLAY,0
-9.300080215628284e-17,1.3617974601455702e-16,1.0,1.0,P04_PLAY,0
4.334465490475557e-17,1.052655904829778e-16,1.0000000000000002,1.0000000000000004,P05_PLAY,0
1.1226763766080464e-16,2.399613629391244e-16,1.0,1.0,P06_PLAY,0
-1.9015416657272976e-16,2.155080554490937e-16,1.0,1.0,P07_PLAY,0
-2.2224303620735932e-17,-5.397330879321583e-17,1.0,1.0000000000000002,P09_PLAY,0
-2.0684437156536914e-16,9.69582991712668e-17,1.0,1.0,P11_PLAY,0
-3.7060387325590273e-16,-7.871232706320057e-17,1.0,1.0000000000000002,P12_READ,0
1.7152771184796008e-16,3.459382423824405e-17,1.0000000000000002,1.0,P13_PLAY,0
-1.4302390011274158e-16,-2.2883824018038653e-17,1.0,1.0000000000000002,P16_PLAY,0
-4.9515173223700355e-17,-1.6204965782301934e-16,1.0,0.9999999999999996,P18_PLAY,0
8.513742215797504e-17,1.986539850352751e-16,1.0000000000000002,1.0,P19_PLAY,0
8.858427016391626e-17,-1.7163202344258775e-16,1.0,1.0,P20_PLAY,0
-2.5706464154124595e-16,4.1773004250452465e-17,1.0,1.0,P21_PLAY,0
3.4051568806394576e-17,-1.2059930618931412e-16,1.0000000000000002,1.0,P22_PLAY,0
6.27826583397482e-18,-2.511306333589928e-17,1.0,1.0,P23_PLAY,0
-5.3110508812821156e-17,-3.7936077723443684e-17,1.0,1.0,P10_PLAY,1
2.1015380040406282e-16,-1.783123154943563e-16,1.0,0.9999999999999998,P08_PLAY,2
1.7799845252533483e-16,1.3156407360568228e-16,0.9999999999999998,1.0,P17_PLAY,2
3.676409541498848e-17,-8.884656391955549e-17,0.9999999999999998,1.0,P24_PLAY,2
-1.3839699147164412e-16,-3.7744634037721117e-17,0.9999999999999998,1.0,P02_PLAY,3
2.6597856418827278e-16,-2.27981626447091e-16,0.9999999999999998,1.0,P14_PLAY,3
1.1882261520085288e-16,5.2810051200379064e-17,1.0000000000000002,1.0000000000000002,P15_PLAY,3
