t_sec,x,y,dt,dx,dy,disp,speed,accel,direction,roi,roi_change,dwell_time,fix_flag,fix_dur,sacc_amp,speed_mean,speed_std,accel_mean,disp_mean,Dax_fc,Day_fc,alpha_fc,participant,cluster,x_next,y_next,t_next,dt_next
0.5925294,667.94116,625.0,0.031235278,4.882324,-5.0,6.9883537,223.73273,-14586.972,-0.7973053,32,0,0.062117696,0,0.0,6.9883537,633.9374633789063,458.1832451437435,128.173779296875,20.30756549835205,0.0,0.0,0.8,P05,0,668.82355,629.7059,0.62541175,0.032882333
0.62541175,668.82355,629.7059,0.032882333,0.88238525,4.7058716,4.7878838,145.60657,-2375.9312,1.3854413,32,0,0.09500003,0,0.0,4.7878838,573.468017578125,480.47985526506284,-1384.53994140625,18.3898042678833,0.0,0.0,0.8,P05,0,685.7647,630.35297,0.6611177,0.035705924
0.6611177,685.7647,630.35297,0.035705924,16.941162,0.6470947,16.953516,474.8096,9219.844,0.038178038,32,0,0.13070595,0,0.0,16.953516,457.0420318603516,301.18745984033785,-3276.15947265625,14.907621383666992,-9901.343,-9317.732,0.8,P05,0,686.0,667.94116,0.69423527,0.033117592
0.69423527,686.0,667.94116,0.033117592,0.23529053,37.588196,37.588932,1135.014,19935.158,1.5645367,40,1,0.033117592,0,0.0,37.588932,543.8607025146484,359.7089204331435,3037.38056640625,17.818945980072023,-10107.319,-9327.742,0.8,P05,0,703.5294,670.5294,0.7352941,0.04105884
0.7352941,703.5294,670.5294,0.04105884,17.529419,2.5882568,17.71947,431.56284,-17132.758,0.146593,40,0,0.07417643,0,0.0,17.71947,473.2357238769531,293.3461396874201,-1422.97275390625,15.983356952667236,-10130.361,-9783.506,0.8,P05,0,744.94116,688.0,0.7851177,0.049823582
0.7851177,744.94116,688.0,0.049823582,41.411743,17.470581,44.94612,902.10535,9444.173,0.3992208,41,1,0.049823582,0,0.0,44.94612,530.6346008300782,316.99822903230336,1588.2365234375,19.192524337768553,-10350.368,-9861.068,0.8,P05,0,761.17645,591.8823,0.855,0.06988233
0.855,761.17645,591.8823,0.06988233,16.23529,-96.117676,97.47919,1394.9045,7051.8423,-1.4034652,33,1,0.06988233,0,0.0,97.47919,640.0232452392578,405.3764958203081,2372.98447265625,27.915210342407228,-10876.3955,-10094.256,0.8,P05,0,753.94116,607.17645,0.89594114,0.04094112
0.89594114,753.94116,607.17645,0.04094112,-7.2352905,15.294128,16.919214,413.25726,-23977.05,2.0126739,33,0,0.11082345,0,0.0,16.919214,612.0163543701171,410.9215496282776,-1275.984765625,27.433350563049316,-11133.893,-8965.696,0.8,P05,0,747.1177,585.58826,0.9338235,0.037882388
0.9338235,747.1177,585.58826,0.037882388,-6.8234863,-21.588196,22.640896,597.66284,4867.8447,-1.8769346,33,0,0.14870584,0,0.0,22.640896,639.80166015625,398.16381202854365,408.87314453125,28.70038776397705,-11092.688,-9050.305,0.8,P05,0,737.41174,561.2941,0.96935296,0.035529435
0.96935296,737.41174,561.2941,0.035529435,-9.705933,-24.294128,26.161226,736.32544,3902.7527,-1.9508868,25,1,0.035529435,0,0.0,26.161226,645.4981201171875,399.1988095051903,-365.1096923828125,29.218479919433594,-11024.649,-8770.998,0.8,P05,0,762.8823,562.94116,1.0004117,0.031058788
1.0004117,762.8823,562.94116,0.031058788,25.470581,1.6470337,25.523777,821.7892,2751.6768,0.06457426,25,0,0.06658822,0,0.0,25.523777,705.3037658691406,372.92575155752826,1368.7551513671874,31.072022247314454,-10910.166,-8439.986,0.8,P05,0,764.2353,557.4706,1.0319412,0.031529427
1.0319412,764.2353,557.4706,0.031529427,1.3529663,-5.470581,5.6354036,178.73473,-20395.373,-1.3283447,25,0,0.09811765,0,0.0,5.6354036,708.6165817260742,367.5091530061024,-433.1890380859375,31.156774234771728,-11211.171,-8412.922,0.8,P05,0,751.82355,555.58826,1.0632354,0.031294227
1.0632354,751.82355,555.58826,0.031294227,-12.411743,-1.8823242,12.553665,401.14957,7107.2163,-2.991083,25,0,0.12941188,0,0.0,12.553665,701.2505783081054,373.4069092483545,-644.4517822265625,30.716789150238036,-11257.931,-8326.277,0.8,P05,0,764.58826,555.41174,1.0944706,0.031235218
1.0944706,764.58826,555.41174,0.031235218,12.764709,-0.17651367,12.76593,408.7031,241.82729,-0.013827375,25,0,0.1606471,0,0.0,12.76593,628.6194839477539,349.5354077508792,-2613.7848739624023,28.23448896408081,-11123.513,-8284.197,0.8,P05,0,773.5294,572.64703,1.1275294,0.033058763
1.1275294,773.5294,572.64703,0.033058763,8.941162,17.23529,19.41648,587.3323,5403.384,1.0922452,25,0,0.19370586,0,0.0,19.41648,644.1964279174805,343.19121825383843,-360.1707138061523,28.40418996810913,-11272.09,-8268.464,0.8,P05,0,789.7647,612.5294,1.1590588,0.031529427
1.1590588,789.7647,612.5294,0.031529427,16.23529,39.882385,43.0603,1365.7178,24687.588,1.1842021,34,1,0.031529427,0,0.0,43.0603,690.5576705932617,407.2406201114037,1164.1707901000977,28.215607738494874,-11395.798,-8467.564,0.8,P05,0,786.4706,622.5294,1.1905295,0.031470656
1.1905295,786.4706,622.5294,0.031470656,-3.2941284,10.0,10.528593,334.5527,-32765.922,1.8890142,34,0,0.06300008,0,0.0,10.528593,584.5224868774415,335.12928262070534,-2817.6056259155275,19.520548343658447,-11610.508,-8963.678,0.8,P05,0,824.7647,632.8823,1.2218235,0.03129399
1.2218235,824.7647,632.8823,0.03129399,38.29413,10.352905,39.668915,1267.621,29816.213,0.26404017,34,0,0.09429407,0,0.0,39.668915,669.9588577270508,390.8825843995039,2561.7207412719727,21.795518398284912,-11599.919,-9135.993,0.8,P05,0,851.82355,646.58826,1.2532941,0.031470656
1.2532941,851.82355,646.58826,0.031470656,27.058838,13.705933,30.33205,963.82007,-9653.466,0.46885264,42,1,0.031470656,0,0.0,30.33205,706.5745803833008,400.3919383720632,1109.5896865844727,22.56463384628296,-12072.926,-9292.773,0.8,P05,0,819.35297,585.17645,1.2845294,0.031235337
1.2845294,819.35297,585.17645,0.031235337,-32.47058,-61.411804,69.467606,2224.0068,40344.906,-2.057167,34,1,0.031235337,0,0.0,69.467606,855.3427200317383,625.6746831005163,4753.805043029785,26.89527177810669,-12453.603,-9485.659,0.8,P05,0,822.94116,561.94116,1.3159412,0.031411767
1.3159412,822.94116,561.94116,0.031411767,3.5881958,-23.23529,23.510717,748.4685,-46974.062,-1.417578,26,1,0.031411767,0,0.0,23.510717,848.0106521606446,626.5405854883464,-218.76888275146484,26.6939658164978,-12118.051,-8773.875,0.8,P05,0,816.1177,559.7059,1.3478235,0.031882286
1.3478235,816.1177,559.7059,0.031882286,-6.8234863,-2.2352905,7.180285,225.21236,-16412.129,-2.825022,26,0,0.06329405,0,0.0,7.180285,852.658415222168,621.1735651127174,179.55553131103517,26.848453950881957,-12149.799,-8433.9375,0.8,P05,0,830.64703,516.5294,1.3797647,0.031941175
1.3797647,830.64703,516.5294,0.031941175,14.529358,-43.176453,45.555553,1426.2328,37601.008,-1.2461885,18,1,0.031941175,0,0.0,45.555553,955.1667373657226,622.9639852024777,3228.9346817016603,30.148642778396606,-12073.254,-8358.419,0.8,P05,0,795.0,526.64703,1.4125882,0.032823563
1.4125882,795.0,526.64703,0.032823563,-35.647034,10.117615,37.055058,1128.9164,-9058.018,2.8650382,26,1,0.032823563,0,0.0,37.055058,1027.1880661010741,593.7126923732985,2298.9501953125,32.57755551338196,-12245.624,-7812.7783,0.8,P05,0,839.05884,524.5294,1.4457059,0.033117652
1.4457059,839.05884,524.5294,0.033117652,44.058838,-2.1176147,44.1097,1331.909,6129.4404,-0.04802638,18,1,0.033117652,0,0.0,44.1097,1101.6457443237305,578.9257443607006,2371.555859375,35.04687752723694,-11833.571,-7869.332,0.8,P05,0,834.2353,552.35297,1.4888823,0.043176413
1.4888823,834.2353,552.35297,0.043176413,-4.8235474,27.823547,28.238562,654.0275,-15700.274,1.7424523,26,1,0.043176413,0,0.0,28.238562,1030.4767196655273,586.5504514336836,-1667.23037109375,33.56470379829407,-12331.691,-7826.319,0.8,P05,0,823.1177,568.64703,1.5247059,0.035823584
1.5247059,823.1177,568.64703,0.035823584,-11.117615,16.294067,19.725567,550.63074,-2886.277,2.1695514,26,0,0.078999996,0,0.0,19.725567,1052.0845230102539,561.5104479139811,1320.7341064453126,34.48440117835999,-12314.771,-8146.943,0.8,P05,0,816.41174,566.4706,1.5598235,0.035117626
1.5598235,816.41174,566.4706,0.035117626,-6.7059326,-2.1764526,7.050282,200.76192,-9962.7705,-2.8277621,26,0,0.11411762,0,0.0,7.050282,945.3986175537109,614.8280014608179,-2657.1642333984373,31.222537899017333,-12190.191,-8367.984,0.8,P05,0,731.1177,475.64706,1.6494118,0.089588284
1.6494118,731.1177,475.64706,0.089588284,-85.29407,-90.82352,124.5953,1390.7544,13282.902,-2.3248084,17,1,0.089588284,0,0.0,124.5953,988.0920501708985,630.8632858387897,-363.5274169921875,40.648862743377684,-12102.081,-8367.8125,0.8,P05,0,754.4706,494.70587,1.696647,0.04723525
1.696647,754.4706,494.70587,0.04723525,23.352905,19.058807,30.142931,638.14484,-15933.219,0.6844941,17,0,0.13682353,0,0.0,30.142931,829.5058502197265,462.5266641389765,-5991.339916992188,36.71639528274536,-11062.5205,-7277.9077,0.8,P05,0,778.0,505.64706,1.7281765,0.031529427
1.7281765,778.0,505.64706,0.031529427,23.529419,10.941193,25.948858,823.00446,5863.082,0.43525812,17,0,0.16835296,0,0.0,25.948858,836.9594451904297,461.67543812694424,-707.6254638671875,36.960209369659424,-11238.984,-7402.716,0.8,P05,0,752.05884,507.2353,1.7718823,0.04370582
1.7718823,752.05884,507.2353,0.04370582,-25.941162,1.5882263,25.989737,594.6516,-5224.7695,3.0804448,17,0,0.21205878,0,0.0,25.989737,873.9033706665039,420.2020600118477,411.1104736328125,38.84115452766419,-11509.166,-7516.5356,0.8,P05,0,749.7059,505.7647,1.8174706,0.045588255
1.8174706,749.7059,505.7647,0.045588255,-2.3529663,-1.470581,2.7747178,60.86475,-11708.868,-2.5830004,17,0,0.25764704,1,0.045588255,0.0,737.3665668487549,442.0493897334465,-4519.877124023437,34.563070964813235,-11212.375,-7535.6333,0.8,P05,0,753.2941,505.29413,1.8504705,0.032999992
1.8504705,753.2941,505.29413,0.032999992,3.5882568,-0.47058105,3.6189826,109.66616,1478.8309,-0.13040057,17,0,0.29064703,0,0.0,3.6189826,635.4415447235108,458.92124811346343,-3466.192272949219,31.21946346759796,-11155.777,-7515.791,0.8,P05,0,746.2941,511.58823,1.8852353,0.034764767
1.8852353,746.2941,511.58823,0.034764767,-7.0,6.294098,9.4135895,270.7796,4634.3887,2.4092436,17,0,0.3254118,0,0.0,9.4135895,529.3285991668702,398.7188053281343,-3615.6974487304688,27.74985249042511,-11183.952,-7505.2095,0.8,P05,0,745.17645,506.82352,1.9169412,0.031705856
1.9169412,745.17645,506.82352,0.031705856,-1.1176758,-4.7647095,4.894043,154.3577,-3671.937,-1.8012043,17,0,0.35711765,0,0.0,4.894043,479.36161613464355,412.4286514487411,-2412.8637084960938,25.415400624275208,-11095.033,-7576.8745,0.8,P05,0,751.1177,518.58826,1.9488235,0.031882286
1.9488235,751.1177,518.58826,0.031882286,5.941223,11.76474,13.179805,413.3896,8124.6333,1.1031548,17,0,0.38899994,0,0.0,13.179805,465.63750114440916,412.0768591257512,-1311.7726684570312,24.760824418067934,-11068.783,-7523.116,0.8,P05,0,766.1177,570.05884,1.9904705,0.041647077
